gene_ids,males_FPKM_Coeff_of_Var,females_FPKM_Coeff_of_Var
gene-ATP6,1.12376211410086,0.161882439419919
gene-COX1,1.39947987048301,0.182137217029329
gene-COX2,1.4396522884087,0.247957078995391
gene-COX3,1.3080691650974,0.253512188330856
gene-CYTB,1.42833100621136,0.296329993203926
gene-LOC111099029,1.12526208942316,1.5742113390076
gene-LOC111099030,0.576977765349508,1.70910521836431
gene-LOC111099031,0.600277050209184,NA
gene-LOC111099032,0.41953908914823,0.936877320044819
gene-LOC111099033,0.287842987569034,0.645620418336944
gene-LOC111099034,0.491908097384517,0.405398257549723
gene-LOC111099035,0.425029444315707,0.174061839445079
gene-LOC111099036,0.613993701521789,0.487687152810914
gene-LOC111099037,0.275529815094293,1.01237576830072
gene-LOC111099038,0.454150975057612,1.38468035663412
gene-LOC111099039,0.580530591548782,1.29513426235784
gene-LOC111099040,0.119791141331448,0.749066708694767
gene-LOC111099041,0.459459680378624,0.59267208469511
gene-LOC111099042,0.552189077819857,0.594152099297614
gene-LOC111099043,0.444650137781285,0.60677816150009
gene-LOC111099044,1.1009611911236,0.904021561608626
gene-LOC111099045,0.182379868717068,0.293523461726299
gene-LOC111099046,0.956483520059278,1.91255462758327
gene-LOC111099047,0.35481057300639,0.219563681744773
gene-LOC111099048,0.590609053261885,1.16196499828092
gene-LOC111099049,0.590148880162567,2.84430155463082
gene-LOC111099050,0.215479573207353,0.195013308635248
gene-LOC111099051,0.668083453292028,0.632639221862136
gene-LOC111099052,0.349623319156119,0.367313854497234
gene-LOC111099053,0.42562067476736,0.32079663838171
gene-LOC111099054,0.361433443653464,0.977792759947445
gene-LOC111099055,0.357783156418258,1.60725545583855
gene-LOC111099056,0.357657372577854,0.324530348825802
gene-LOC111099057,0.540145512853459,0.480005683295302
gene-LOC111099058,0.367439322115981,0.85761931476536
gene-LOC111099059,0.389241113929391,0.812697825892977
gene-LOC111099060,0.372315762222431,0.341182600145218
gene-LOC111099061,0.573717168028483,0.720011258674771
gene-LOC111099062,0.232157738268833,0.268993170690316
gene-LOC111099063,0.141780045200863,0.271614170682694
gene-LOC111099064,0.390967118690942,0.994561153453535
gene-LOC111099065,0.457870493962325,0.544394100399926
gene-LOC111099066,0.548636436159389,1.35729165006208
gene-LOC111099067,0.103741995549379,0.518714331102526
gene-LOC111099068,0.444245824300152,0.505867862396435
gene-LOC111099069,0.413195078179926,1.8261335983986
gene-LOC111099070,0.440382910235352,0.717927753858535
gene-LOC111099071,0.169437018432605,0.400724726185835
gene-LOC111099072,0.631342135387175,1.43934709671814
gene-LOC111099073,0.202747837831832,0.239232028369837
gene-LOC111099074,0.666550809789187,2.91681547239451
gene-LOC111099075,0.436181862582669,2.14372951422551
gene-LOC111099076,0.665735498501571,0.838083421549103
gene-LOC111099077,0.469122308365135,0.576710725062439
gene-LOC111099078,1.72296458107935,1.96287187666067
gene-LOC111099079,0.322699819387291,0.307767520930778
gene-LOC111099080,0.38733456620085,1.21614305495878
gene-LOC111099081,0.323702967870213,0.245052630843104
gene-LOC111099082,0.607846322849142,0.685496902787607
gene-LOC111099083,0.637712862962689,0.675271237778231
gene-LOC111099084,0.792504778758919,NA
gene-LOC111099085,1.27049374914528,2.91681547239451
gene-LOC111099086,NA,NA
gene-LOC111099087,0.574291083916128,2.13855772058171
gene-LOC111099088,0.361089328311198,2.09520723946574
gene-LOC111099089,1.44954459086341,2.91681547239451
gene-LOC111099090,0.562053163352455,0.891668201482702
gene-LOC111099091,0.426438372651559,0.454726409186953
gene-LOC111099092,0.195884087905492,0.330085313865202
gene-LOC111099093,1.46974229038289,0.225890617331839
gene-LOC111099094,0.40756629619493,1.29103249592217
gene-LOC111099095,0.249090972554736,0.186718454288047
gene-LOC111099096,0.650575383202663,1.52740933409547
gene-LOC111099097,0.0593074144608252,0.385501216939415
gene-LOC111099098,0.688248948306452,1.12875769624525
gene-LOC111099099,0.562071300550338,1.20187246331013
gene-LOC111099100,0.390499195139444,1.42517211146054
gene-LOC111099101,0.121293584217998,0.333074827522078
gene-LOC111099102,0.289338122755387,0.360371985721875
gene-LOC111099103,0.270567823361165,0.731199965668003
gene-LOC111099104,0.147391373921254,0.287973893028779
gene-LOC111099105,0.106935252487488,0.557484448319923
gene-LOC111099106,0.473691729414661,0.28344196886532
gene-LOC111099107,0.349285931496671,1.05621450766186
gene-LOC111099108,1.07673831832,0.139487566122966
gene-LOC111099109,0.238827315633294,0.384966238815776
gene-LOC111099110,0.447401258629424,0.466395986055179
gene-LOC111099111,0.483119477276704,0.845502068774087
gene-LOC111099112,0.202744581605426,0.326477846124857
gene-LOC111099113,0.521436567517774,2.20436768282825
gene-LOC111099114,0.353137827115529,0.756289194863236
gene-LOC111099115,0.257769237339778,0.330632876564822
gene-LOC111099116,0.385190216000688,1.38486676347621
gene-LOC111099117,0.540829108550323,0.922207173522918
gene-LOC111099118,0.418368290761679,0.782052041868995
gene-LOC111099119,0.488990349476607,0.841716046790015
gene-LOC111099120,0.361796133787776,0.360273964173856
gene-LOC111099121,0.65770553469825,1.88082995592847
gene-LOC111099122,0.247622477005108,0.345608916301502
gene-LOC111099123,0.0377473519133433,0.421368965164259
gene-LOC111099124,0.36010740163606,0.374562181305063
gene-LOC111099125,0.342923510614775,0.384519442258703
gene-LOC111099126,1.63726947842605,2.91681547239451
gene-LOC111099127,0.339170617862123,0.723399839624955
gene-LOC111099128,1.1213163032524,2.5296103285912
gene-LOC111099129,0.445462172487947,1.04122460835363
gene-LOC111099130,0.535432881766561,0.874130969473489
gene-LOC111099131,1.24032657256684,1.8276727281558
gene-LOC111099132,0.256648555621179,0.396267593968542
gene-LOC111099133,0.968309532797772,1.47018385880501
gene-LOC111099134,1.55140702869227,2.91681547239451
gene-LOC111099135,0.392863261481425,1.31571257360474
gene-LOC111099136,0.176120754900207,0.637266545494928
gene-LOC111099137,0.780328017165837,1.84662332177652
gene-LOC111099138,0.409199867218177,0.76761834153663
gene-LOC111099139,0.705191014192553,1.34133961845526
gene-LOC111099140,0.213476558718379,0.329624973575149
gene-LOC111099141,0.642343091516275,0.73327097024832
gene-LOC111099142,0.511139492864872,1.4341462275558
gene-LOC111099143,1.17789047368119,0.149491472148098
gene-LOC111099144,0.76716326923339,2.91681547239451
gene-LOC111099145,0.476551451064845,0.689208215537115
gene-LOC111099146,0.367444910755047,0.730216423760108
gene-LOC111099147,0.212970784455671,0.284526159471303
gene-LOC111099148,0.426459639764614,0.785353647956351
gene-LOC111099149,0.652607535642057,1.96021586297695
gene-LOC111099150,0.0544630222453012,0.640167002278784
gene-LOC111099151,0.498030339737537,0.650254529676836
gene-LOC111099152,0.362051696478985,0.195740187636081
gene-LOC111099153,0.604453790435235,0.525379780827221
gene-LOC111099154,0.49521543161775,1.15430272888308
gene-LOC111099155,0.208687666653044,0.85275001116289
gene-LOC111099156,0.340101634872947,0.270947644308308
gene-LOC111099157,0.395411224406907,0.577779986826774
gene-LOC111099158,0.44117453539594,0.798070690561087
gene-LOC111099159,0.880197585616215,1.91311972860671
gene-LOC111099160,0.644441893670639,2.91681547239451
gene-LOC111099161,0.59426780052482,0.684323372691113
gene-LOC111099162,0.610480902197501,0.332484372439199
gene-LOC111099163,0.518043530874324,1.29824411767303
gene-LOC111099164,1.23726270496355,1.59589757573586
gene-LOC111099165,0.251725972968698,1.11959587085031
gene-LOC111099166,0.373904913160684,0.88699665315039
gene-LOC111099167,0.69746666375909,2.14885587974195
gene-LOC111099168,0.237180394005788,0.334771842151314
gene-LOC111099169,0.128753926600991,0.362621565631017
gene-LOC111099170,0.279588718418502,2.64247155225061
gene-LOC111099171,0.441642531687867,0.720338118821175
gene-LOC111099172,0.719093855872497,1.03284559155277
gene-LOC111099173,0.37142932057778,2.91681547239451
gene-LOC111099174,0.227655694972014,0.301894708215801
gene-LOC111099175,0.282323780851231,0.189340854126141
gene-LOC111099176,0.378278917097424,1.54389619257437
gene-LOC111099177,0.771417945476275,2.08543208383734
gene-LOC111099178,0.521893878526927,1.3048735436162
gene-LOC111099179,0.379710006388893,1.90769416458687
gene-LOC111099180,0.386934527220193,0.291717491556717
gene-LOC111099181,0.608160367583515,2.00412162096928
gene-LOC111099182,0.135706522857713,0.301294987946481
gene-LOC111099183,0.289736358404487,0.184404203699794
gene-LOC111099184,0.458100578367786,0.827645078475233
gene-LOC111099185,0.346657095091623,1.38577653728646
gene-LOC111099186,0.405314004217237,1.1222117928731
gene-LOC111099187,0.375928502755012,1.59572577845524
gene-LOC111099188,1.32868508169671,2.17545589731867
gene-LOC111099189,0.781327281862269,0.705002229975468
gene-LOC111099190,0.455429123401616,0.907430358328984
gene-LOC111099191,0.495223891142501,1.39581401711395
gene-LOC111099192,0.377442285070877,0.241039806073559
gene-LOC111099193,0.485549958783876,1.2717783007458
gene-LOC111099194,0.306083613198148,1.00736472246682
gene-LOC111099195,0.574232208559767,1.39732404811461
gene-LOC111099196,0.565402008383215,0.231616860784062
gene-LOC111099197,0.671352064576445,0.512087023265691
gene-LOC111099198,0.610613288163521,1.47466032096068
gene-LOC111099199,0.619617169541268,0.960326525634571
gene-LOC111099200,0.421618125567364,0.315061822792656
gene-LOC111099201,0.84733492844862,1.0655566321037
gene-LOC111099202,0.710334663594254,0.804331709740426
gene-LOC111099203,0.170922011869452,0.216926476283474
gene-LOC111099204,1.51278200885525,NA
gene-LOC111099205,1.74595593971034,1.40004495632144
gene-LOC111099206,0.710340971389038,0.382445274986362
gene-LOC111099207,0.385477039428007,1.14950001409558
gene-LOC111099208,0.582040545199064,1.23762082518329
gene-LOC111099209,1.47682527761451,0.284446602949826
gene-LOC111099210,0.342600124227836,0.597489288875741
gene-LOC111099211,0.267904352668136,0.40108051438716
gene-LOC111099212,0.380467036010134,0.230076054621716
gene-LOC111099213,0.436913950793505,0.820405224318779
gene-LOC111099214,0.522064200530527,0.780973893559442
gene-LOC111099215,0.480941166060732,0.471466936561462
gene-LOC111099216,0.193341777724012,0.176576497029556
gene-LOC111099217,0.713805213064382,0.49931631778798
gene-LOC111099218,0.380423971893119,0.327163905510049
gene-LOC111099219,0.164316103814647,0.121503063580976
gene-LOC111099220,0.199030855913955,0.15235849292339
gene-LOC111099221,0.201534921852153,0.327450912697717
