gene_name,control_females_max_transcript_counts,control_males_max_transcript_counts,exposed_females_max_transcript_counts,exposed_males_max_transcript_counts,max_transcript_counts,females_controls_predom_isoform,females_exposed_predom_isoform,males_controls_predom_isoform,males_exposed_predom_isoform
ATP6,1,1,1,1,1,gene-ATP6,gene-ATP6,gene-ATP6,gene-ATP6
COX1,1,1,1,1,1,gene-COX1,gene-COX1,gene-COX1,gene-COX1
COX2,1,1,1,1,1,gene-COX2,gene-COX2,gene-COX2,gene-COX2
COX3,1,1,1,1,1,gene-COX3,gene-COX3,gene-COX3,gene-COX3
CYTB,1,1,1,1,1,gene-CYTB,gene-CYTB,gene-CYTB,gene-CYTB
LOC111099029,1,1,1,1,1,rna-XM_022458270.1,rna-XM_022458270.1,rna-XM_022458270.1,rna-XM_022458270.1
LOC111099030,1,1,1,1,1,rna-XM_022430679.1,rna-XM_022430679.1,rna-XM_022430679.1,rna-XM_022430679.1
LOC111099031,1,1,0,1,1,rna-XM_022430340.1,rna-XM_022430340.1,rna-XM_022430340.1,rna-XM_022430340.1
LOC111099032,1,1,1,1,1,rna-XM_022430343.1,rna-XM_022430343.1,rna-XM_022430343.1,rna-XM_022430343.1
LOC111099033,1,1,1,1,1,rna-XM_022430347.1,rna-XM_022430347.1,rna-XM_022430347.1,rna-XM_022430347.1
LOC111099034,1,1,1,1,1,rna-XM_022430344.1,rna-XM_022430344.1,rna-XM_022430344.1,rna-XM_022430344.1
LOC111099035,2,1,2,1,2,rna-XM_022430345.1,rna-XM_022430346.1,rna-XM_022430345.1,rna-XM_022430345.1
LOC111099036,2,1,2,2,2,rna-XM_022430348.1,rna-XM_022430348.1,rna-XM_022430348.1,rna-XM_022430348.1
LOC111099037,1,1,1,1,1,rna-XM_022430350.1,rna-XM_022430350.1,rna-XM_022430350.1,rna-XM_022430350.1
LOC111099038,1,1,1,1,1,rna-XR_002633618.1,rna-XR_002633618.1,rna-XR_002633618.1,rna-XR_002633618.1
LOC111099039,1,1,1,1,1,rna-XM_022430351.1,rna-XM_022430351.1,rna-XM_022430351.1,rna-XM_022430351.1
LOC111099040,18,13,17,16,18,rna-XM_022430369.1,rna-XM_022430378.1,rna-XM_022430378.1,rna-XM_022430378.1
LOC111099041,2,2,2,2,2,rna-XM_022430360.1,rna-XM_022430360.1,rna-XM_022430360.1,rna-XM_022430360.1
LOC111099042,2,2,2,2,2,rna-XR_002633619.1,rna-XR_002633619.1,rna-XR_002633619.1,rna-XR_002633619.1
LOC111099043,2,1,1,1,2,rna-XM_022430379.1,rna-XM_022430379.1,rna-XM_022430379.1,rna-XM_022430379.1
LOC111099044,1,1,1,1,1,rna-XM_022430382.1,rna-XM_022430382.1,rna-XM_022430382.1,rna-XM_022430382.1
LOC111099045,2,2,2,2,2,rna-XM_022430383.1,rna-XM_022430383.1,rna-XM_022430381.1,rna-XM_022430381.1
LOC111099046,1,1,1,1,1,rna-XM_022430424.1,rna-XM_022430424.1,rna-XM_022430424.1,rna-XM_022430424.1
LOC111099047,6,5,6,4,6,rna-XM_022430386.1,rna-XM_022430390.1,rna-XM_022430390.1,rna-XM_022430390.1
LOC111099048,1,1,1,1,1,rna-XM_022430391.1,rna-XM_022430391.1,rna-XM_022430391.1,rna-XM_022430391.1
LOC111099049,1,2,1,2,2,rna-XM_022430403.1,rna-XM_022430403.1,rna-XM_022430403.1,rna-XM_022430403.1
LOC111099050,1,1,1,1,1,rna-XM_022430392.1,rna-XM_022430392.1,rna-XM_022430392.1,rna-XM_022430392.1
LOC111099051,1,1,1,1,1,rna-XR_002633621.1,rna-XR_002633621.1,rna-XR_002633621.1,rna-XR_002633621.1
LOC111099052,1,1,1,1,1,rna-XM_022430393.1,rna-XM_022430393.1,rna-XM_022430393.1,rna-XM_022430393.1
LOC111099053,1,1,1,1,1,rna-XM_022430394.1,rna-XM_022430394.1,rna-XM_022430394.1,rna-XM_022430394.1
LOC111099054,1,1,1,1,1,rna-XM_022430396.1,rna-XM_022430396.1,rna-XM_022430396.1,rna-XM_022430396.1
LOC111099055,1,1,1,1,1,rna-XM_022430397.1,rna-XM_022430397.1,rna-XM_022430397.1,rna-XM_022430397.1
LOC111099056,3,3,3,2,3,rna-XM_022430398.1,rna-XM_022430398.1,rna-XM_022430399.1,rna-XM_022430399.1
LOC111099057,1,1,1,1,1,rna-XM_022430401.1,rna-XM_022430401.1,rna-XM_022430401.1,rna-XM_022430401.1
LOC111099058,1,1,1,1,1,rna-XM_022430402.1,rna-XM_022430402.1,rna-XM_022430402.1,rna-XM_022430402.1
LOC111099059,2,3,1,3,3,rna-XM_022430404.1,rna-XM_022430404.1,rna-XM_022430404.1,rna-XM_022430404.1
LOC111099060,2,2,2,2,2,rna-XM_022430407.1,rna-XM_022430407.1,rna-XM_022430407.1,rna-XM_022430407.1
LOC111099061,1,1,1,1,1,rna-XM_022430409.1,rna-XM_022430409.1,rna-XM_022430409.1,rna-XM_022430409.1
LOC111099062,1,1,1,1,1,rna-XM_022430410.1,rna-XM_022430410.1,rna-XM_022430410.1,rna-XM_022430410.1
LOC111099063,1,1,1,1,1,rna-XM_022430411.1,rna-XM_022430411.1,rna-XM_022430411.1,rna-XM_022430411.1
LOC111099064,1,1,1,1,1,rna-XM_022430414.1,rna-XM_022430414.1,rna-XM_022430414.1,rna-XM_022430414.1
LOC111099065,2,2,2,2,2,rna-XR_002633622.1,rna-XR_002633622.1,rna-XR_002633622.1,rna-XR_002633622.1
