Genes	GOslim.BP	Term
LOC111099053	GO:0002181	cytoplasmic translation
LOC111099101	GO:0006914	autophagy
LOC111099485	GO:0006486;GO:0071554;GO:1901135	protein glycosylation;cell wall organization or biogenesis;carbohydrate derivative metabolic process
LOC111099578	GO:0006486;GO:0071554;GO:1901135	protein glycosylation;cell wall organization or biogenesis;carbohydrate derivative metabolic process
LOC111099665	GO:0000910	cytokinesis
LOC111099666	GO:0016071	mRNA metabolic process
LOC111099716	GO:0005975	carbohydrate metabolic process
LOC111099718	GO:0005975	carbohydrate metabolic process
LOC111100304	GO:0000910	cytokinesis
LOC111100329	GO:0000910	cytokinesis
LOC111100557	GO:0042060;GO:0061024	wound healing;membrane organization
LOC111100589	GO:0044782	cilium organization
LOC111100667	GO:0007005	mitochondrion organization
LOC111100739	GO:0006260	DNA replication
LOC111100760	GO:0007005	mitochondrion organization
LOC111100764	GO:0000910	cytokinesis
LOC111100872	GO:0000910	cytokinesis
LOC111100876	GO:0007018	microtubule-based movement
LOC111100880	GO:0006260	DNA replication
LOC111100962	GO:0000910	cytokinesis
LOC111101029	GO:0006260	DNA replication
LOC111101036	GO:0022414	reproductive process
LOC111101142	GO:0030163	protein catabolic process
LOC111101166	GO:0042060;GO:0061024	wound healing;membrane organization
LOC111101238	GO:0000910	cytokinesis
LOC111101260	GO:0140013	meiotic nuclear division
LOC111101280	GO:0098542	defense response to other organism
LOC111101340	GO:0051604	protein maturation
LOC111101410	GO:0016071	mRNA metabolic process
LOC111101645	GO:0000910	cytokinesis
LOC111101793	GO:0000910	cytokinesis
LOC111101808	GO:0044782	cilium organization
LOC111101896	GO:0000910	cytokinesis
LOC111101926	GO:0006260	DNA replication
LOC111101933	GO:0000910	cytokinesis
LOC111102086	GO:0007005	mitochondrion organization
LOC111102096	GO:0098542	defense response to other organism
LOC111102097	GO:0098542	defense response to other organism
LOC111102154	GO:0000910	cytokinesis
LOC111102202	GO:0007005	mitochondrion organization
LOC111102204	GO:0007005	mitochondrion organization
LOC111102251	GO:0042060;GO:0061024	wound healing;membrane organization
LOC111102289	GO:0006260	DNA replication
LOC111102443	GO:0098542	defense response to other organism
LOC111102660	GO:0098542	defense response to other organism
LOC111102662	GO:0098542	defense response to other organism
LOC111102663	GO:0098542	defense response to other organism
LOC111102685	GO:0007163	establishment or maintenance of cell polarity
LOC111102818	GO:0007005	mitochondrion organization
LOC111102950	GO:0098542	defense response to other organism
LOC111102951	GO:0098542	defense response to other organism
LOC111103080	GO:0006886;GO:0012501	intracellular protein transport;programmed cell death
LOC111103124	GO:0000910	cytokinesis
LOC111103394	GO:0007018	microtubule-based movement
LOC111103395	GO:0044782	cilium organization
LOC111103398	GO:0006260	DNA replication
LOC111103517	GO:0007005	mitochondrion organization
LOC111103552	GO:0006486	protein glycosylation
LOC111103560	GO:0044782	cilium organization
LOC111103567	GO:0006914	autophagy
LOC111103594	GO:0044782	cilium organization
LOC111103620	GO:0042254;GO:0065003	ribosome biogenesis;protein-containing complex assembly
LOC111103643	GO:0098542	defense response to other organism
LOC111103692	GO:0000910	cytokinesis
LOC111103713	GO:0006486	protein glycosylation
LOC111103763	GO:0098542	defense response to other organism
LOC111103764	GO:0098542	defense response to other organism
LOC111103795	GO:0007005	mitochondrion organization
LOC111103796	GO:0007005	mitochondrion organization
LOC111103820	GO:0007018;GO:0044782	microtubule-based movement;cilium organization
LOC111103842	GO:0022600	digestive system process
LOC111103867	GO:0006310	DNA recombination
LOC111103926	GO:0002181	cytoplasmic translation
LOC111103940	GO:0023052	signaling
LOC111104021	GO:0044782	cilium organization
LOC111104119	GO:0006486	protein glycosylation
LOC111104160	GO:0007018	microtubule-based movement
LOC111104183	GO:0023052	signaling
LOC111104252	GO:0000278;GO:0007010;GO:0007059;GO:0022414;GO:0140014	mitotic cell cycle;cytoskeleton organization;chromosome segregation;reproductive process;mitotic nuclear division
LOC111104302	GO:0006954	inflammatory response
LOC111104381	GO:0006310	DNA recombination
LOC111104451	GO:0022600	digestive system process
LOC111104545	GO:0006486	protein glycosylation
LOC111104697	GO:0098542	defense response to other organism
LOC111104713	GO:0006310	DNA recombination
LOC111104714	GO:0098542	defense response to other organism
LOC111104737	GO:0098542	defense response to other organism
LOC111104743	GO:0098542	defense response to other organism
LOC111104750	GO:0098542	defense response to other organism
LOC111104906	GO:0000910	cytokinesis
LOC111105030	GO:0012501	programmed cell death
LOC111105035	GO:0000910	cytokinesis
LOC111105042	GO:0007005	mitochondrion organization
LOC111105213	GO:0007005	mitochondrion organization
LOC111105323	GO:0098542	defense response to other organism
LOC111105325	GO:0098542	defense response to other organism
LOC111105330	GO:0098542	defense response to other organism
LOC111105338	GO:0098542	defense response to other organism
LOC111105344	GO:0098542	defense response to other organism
LOC111105357	GO:0098542	defense response to other organism
LOC111105365	GO:0006091	generation of precursor metabolites and energy
LOC111105459	GO:0006260	DNA replication
LOC111105474	GO:0048856	anatomical structure development
LOC111105594	GO:0006486	protein glycosylation
LOC111105763	GO:0016192	vesicle-mediated transport
LOC111105806	GO:0007018	microtubule-based movement
LOC111105823	GO:0000910	cytokinesis
LOC111105830	GO:0006486	protein glycosylation
LOC111105882	GO:0006575;GO:0071941	cellular modified amino acid metabolic process;nitrogen cycle metabolic process
LOC111105967	GO:0006914	autophagy
LOC111106044	GO:0016192	vesicle-mediated transport
LOC111106049	GO:0000910	cytokinesis
LOC111106138	GO:0055085	transmembrane transport
LOC111106221	GO:0030154	cell differentiation
LOC111106437	GO:0007005;GO:0032200	mitochondrion organization;telomere organization
LOC111106457	GO:0006486	protein glycosylation
LOC111106636	GO:0098542	defense response to other organism
LOC111106696	GO:0007031	peroxisome organization
LOC111107238	GO:0030154	cell differentiation
LOC111107250	GO:0007018	microtubule-based movement
LOC111107339	GO:0007005	mitochondrion organization
LOC111107460	GO:0098542	defense response to other organism
LOC111107464	GO:0072659	protein localization to plasma membrane
LOC111107485	GO:0016192	vesicle-mediated transport
LOC111107528	GO:0007005	mitochondrion organization
LOC111107566	GO:0030154	cell differentiation
LOC111107574	GO:0006351;GO:0006355	DNA-templated transcription;regulation of DNA-templated transcription
LOC111107787	GO:0051604	protein maturation
LOC111107790	GO:0006351;GO:0006355	DNA-templated transcription;regulation of DNA-templated transcription
LOC111107850	GO:0006629	lipid metabolic process
LOC111107865	GO:0000910	cytokinesis
LOC111107866	GO:0000910	cytokinesis
LOC111108038	GO:0006486	protein glycosylation
LOC111108043	GO:0016071	mRNA metabolic process
LOC111108101	GO:0098542	defense response to other organism
LOC111108103	GO:0098542	defense response to other organism
LOC111108106	GO:0016071	mRNA metabolic process
LOC111108144	GO:0006914	autophagy
LOC111108344	GO:0042060;GO:0061024	wound healing;membrane organization
LOC111108349	GO:0031047	gene silencing by RNA
LOC111108376	GO:0006914	autophagy
LOC111108423	GO:0006486	protein glycosylation
LOC111108482	GO:0000910	cytokinesis
LOC111108483	GO:0000910	cytokinesis
LOC111108589	GO:0007018	microtubule-based movement
LOC111108767	GO:0006260	DNA replication
LOC111108932	GO:0007005	mitochondrion organization
LOC111108953	GO:0098542	defense response to other organism
LOC111109072	GO:0007005;GO:0032200	mitochondrion organization;telomere organization
LOC111109100	GO:0006486	protein glycosylation
LOC111109112	GO:0042254;GO:0065003	ribosome biogenesis;protein-containing complex assembly
LOC111109271	GO:0006914	autophagy
LOC111109289	GO:0030154	cell differentiation
LOC111109337	GO:0003013	circulatory system process
LOC111109377	GO:0000910	cytokinesis
LOC111109382	GO:0098542	defense response to other organism
LOC111109773	GO:0007018	microtubule-based movement
LOC111109885	GO:0007018	microtubule-based movement
LOC111109889	GO:0006486	protein glycosylation
LOC111110008	GO:0007018	microtubule-based movement
