gene_name	t_name	Predom_exp
ATP6	gene-ATP6	201.322307
COX1	gene-COX1	537.79844075
COX2	gene-COX2	674.34632525
COX3	gene-COX3	398.70069325
CYTB	gene-CYTB	836.67610975
LOC111099029	rna-XM_022458270.1	3.320988
LOC111099030	rna-XM_022430679.1	6.36821525
LOC111099031	rna-XM_022430340.1	2.307631
LOC111099032	rna-XM_022430343.1	10.35354275
LOC111099033	rna-XM_022430347.1	4.7528315
LOC111099034	rna-XM_022430344.1	7.39401125
LOC111099035	rna-XM_022430345.1	2.2629615
LOC111099036	rna-XM_022430348.1	5.318749
LOC111099037	rna-XM_022430350.1	26.70065125
LOC111099038	rna-XR_002633618.1	4.70899375
LOC111099039	rna-XM_022430351.1	8.6104965
LOC111099040	rna-XM_022430378.1	4.9618815
LOC111099041	rna-XM_022430360.1	4.94031525
LOC111099042	rna-XR_002633619.1	9.5038835
LOC111099043	rna-XM_022430379.1	13.24187775
LOC111099044	rna-XM_022430382.1	3.057936
LOC111099045	rna-XM_022430381.1	5.26435075
LOC111099046	rna-XM_022430424.1	0.67145475
LOC111099047	rna-XM_022430390.1	5.21489775
LOC111099048	rna-XM_022430391.1	6.05073325
LOC111099049	rna-XM_022430403.1	7.31131475
LOC111099050	rna-XM_022430392.1	8.8201095
LOC111099051	rna-XR_002633621.1	3.11349175
LOC111099052	rna-XM_022430393.1	5.5654775
LOC111099053	rna-XM_022430394.1	8.48074525
LOC111099054	rna-XM_022430396.1	9.235572
LOC111099055	rna-XM_022430397.1	5.0962575
LOC111099056	rna-XM_022430399.1	3.8308685
LOC111099057	rna-XM_022430401.1	6.5455795
LOC111099058	rna-XM_022430402.1	9.231521
LOC111099059	rna-XM_022430404.1	7.37546125
LOC111099060	rna-XM_022430407.1	9.34207925
LOC111099061	rna-XM_022430409.1	17.093453
LOC111099062	rna-XM_022430410.1	4.90186025
LOC111099063	rna-XM_022430411.1	6.9326245
LOC111099064	rna-XM_022430414.1	11.93154575
LOC111099065	rna-XR_002633622.1	5.041166
LOC111099066	rna-XM_022430413.1	4.67757325
LOC111099067	rna-XM_022430415.1	12.137584
LOC111099068	rna-XM_022430416.1	6.96061075
LOC111099069	rna-XM_022430418.1	4.788328
LOC111099070	rna-XM_022430419.1	6.94252875
LOC111099071	rna-XM_022430428.1	9.9688955
LOC111099072	rna-XM_022430425.1	8.03078825
LOC111099073	rna-XM_022430426.1	7.038866
LOC111099074	rna-XM_022430427.1	1.99295275
LOC111099075	rna-XR_002633624.1	8.82907775
LOC111099076	rna-XM_022430429.1	8.25146775
LOC111099077	rna-XM_022430431.1	13.310373
LOC111099078	rna-XM_022430432.1	0.378469
LOC111099079	rna-XM_022430440.1	10.5447925
LOC111099080	rna-XM_022430437.1	10.83495725
LOC111099081	rna-XM_022430438.1	8.5092075
LOC111099082	rna-XM_022430441.1	12.72746775
