gene_name	t_name	Predom_exp
ATP6	gene-ATP6	1559.459344875
COX1	gene-COX1	2522.038659875
COX2	gene-COX2	3275.719864625
COX3	gene-COX3	1304.791763125
CYTB	gene-CYTB	3774.9275236875
LOC111099029	rna-XM_022458270.1	8.126048875
LOC111099030	rna-XM_022430679.1	0.3691793125
LOC111099031	rna-XM_022430340.1	0.025242
LOC111099032	rna-XM_022430343.1	0.311879
LOC111099033	rna-XM_022430347.1	2.0217335625
LOC111099034	rna-XM_022430344.1	2.0554371875
LOC111099035	rna-XM_022430345.1	3.7173450625
LOC111099036	rna-XM_022430348.1	1.5851319375
LOC111099037	rna-XM_022430350.1	0.44097725
LOC111099038	rna-XR_002633618.1	0.5667470625
LOC111099039	rna-XM_022430351.1	0.3202846875
LOC111099040	rna-XM_022430378.1	2.9636194375
LOC111099041	rna-XM_022430360.1	2.2713749375
LOC111099042	rna-XR_002633619.1	0.666393875
LOC111099043	rna-XM_022430379.1	0.6971973125
LOC111099044	rna-XM_022430382.1	0.1723301875
LOC111099045	rna-XM_022430383.1	14.5869614375
LOC111099046	rna-XM_022430424.1	0.0968825625
LOC111099047	rna-XM_022430390.1	2.869439125
LOC111099048	rna-XM_022430391.1	0.11359825
LOC111099049	rna-XM_022430403.1	3.1574843125
LOC111099050	rna-XM_022430392.1	8.1250140625
LOC111099051	rna-XR_002633621.1	11.1822276875
LOC111099052	rna-XM_022430393.1	5.2316438125
LOC111099053	rna-XM_022430394.1	54.9603255
LOC111099054	rna-XM_022430396.1	0.810261375
LOC111099055	rna-XM_022430397.1	0.144971375
LOC111099056	rna-XM_022430398.1	1.9439330625
LOC111099057	rna-XM_022430401.1	0.3741249375
LOC111099058	rna-XM_022430402.1	1.6553815
LOC111099059	rna-XM_022430404.1	0.2710708125
LOC111099060	rna-XM_022430407.1	5.6415965
LOC111099061	rna-XM_022430409.1	0.5334964375
LOC111099062	rna-XM_022430410.1	5.513736875
LOC111099063	rna-XM_022430411.1	11.034594
LOC111099064	rna-XM_022430414.1	2.5954559375
LOC111099065	rna-XR_002633622.1	0.97999025
LOC111099066	rna-XM_022430413.1	0.26725725
LOC111099067	rna-XM_022430415.1	18.2662178125
LOC111099068	rna-XM_022430416.1	1.345438
LOC111099069	rna-XM_022430418.1	0.35552325
LOC111099070	rna-XM_022430419.1	0.7727274375
LOC111099071	rna-XM_022430428.1	10.835041625
LOC111099072	rna-XM_022430425.1	0.62505725
LOC111099073	rna-XM_022430426.1	10.232901375
LOC111099074	rna-XM_022430427.1	0.0407985
LOC111099075	rna-XR_002633624.1	0.165261125
LOC111099076	rna-XM_022430429.1	0.2831779375
LOC111099077	rna-XM_022430431.1	0.54650325
LOC111099078	rna-XM_022430432.1	0.0153730625
LOC111099079	rna-XM_022430440.1	6.9826165625
LOC111099080	rna-XM_022430437.1	0.2137155625
LOC111099081	rna-XM_022430439.1	15.5195233125
LOC111099082	rna-XM_022430441.1	0.7780150625
LOC111099083	rna-XM_022430442.1	0.5514666875
LOC111099084	rna-XR_002633625.1	0.055057125
LOC111099085	rna-XR_002633626.1	0.010630875
LOC111099086	rna-XR_002633627.1	0.0739100625
LOC111099087	rna-XM_022430445.1	0.1941794375
LOC111099088	rna-XM_022430450.1	9.874852
LOC111099089	rna-XR_002633628.1	0.010523
LOC111099090	rna-XM_022430449.1	1.36149025
LOC111099091	rna-XM_022430451.1	0.4239378125
LOC111099092	rna-XM_022430452.1	54.1658091875
LOC111099093	rna-XM_022430453.1	6.6087841875
LOC111099094	rna-XR_002633629.1	0.2762193125
LOC111099095	rna-XM_022430454.1	5.270541875
LOC111099096	rna-XM_022430456.1	0.1160394375
LOC111099097	rna-XM_022430457.1	3.8701076875
LOC111099098	rna-XM_022430461.1	0.328969875
LOC111099099	rna-XM_022430462.1	0.3294743125
LOC111099100	gene-LOC111099100	0.3113101875
LOC111099101	rna-XM_022430465.1	4.5054673125
LOC111099102	rna-XM_022430470.1	28.534051625
LOC111099103	rna-XM_022430468.1	10.000573125
