term,estimate,std.error,statistic,p.value
(Intercept),0.141526936963289,0.00717961680843915,19.7123245904897,3.0442639577076e-86
avg_meth,-0.00384699921283058,6.83003640964063e-05,-56.3247248199222,0
log10(CoV_Meth),0.103500774134894,0.00292054698830838,35.438832023327,1.86641551944803e-272
I((log2(avg_exp + 1)^2)),0.0105836362752459,0.000295228641165755,35.8489482370506,1.09823612310775e-278
log2(avg_exp + 1),-0.104171310978098,0.00203502115311412,-51.1893013095655,0
log10(length),0.00713865313682133,0.00187928067301247,3.79860935055439,0.000145644190728034
as.factor(treatment)exposed,-0.0086232085090037,0.00271641074309052,-3.1744862336956,0.00150172818299473
avg_meth:as.factor(treatment)exposed,0.000637557416163665,8.58463126223093e-05,7.42673035903908,1.1268821884818e-13
I((log2(avg_exp + 1)^2)):as.factor(treatment)exposed,0.00618146368966647,0.000415210875881789,14.8875283590267,4.81495622427012e-50
log2(avg_exp + 1):as.factor(treatment)exposed,-0.0749350927637227,0.00286586956658503,-26.1474191419728,6.4559718380896e-150
