chr	start	end	mean
cvirNC_007175.2	1	1623	412.768308833333
cvirNC_007175.2	2558	3429	316.4707085
cvirNC_007175.2	3647	4859	615.221576666667
cvirNC_007175.2	4897	5589	498.821871333333
cvirNC_007175.2	9518	10192	164.043459666667
cvirNC_007175.2	10295	11290	266.23055
cvirNC_007175.2	11515	12864	309.25569
cvirNC_007175.2	13126	14793	205.054171666667
cvirNC_007175.2	14807	15268	113.446695
cvirNC_007175.2	15352	15705	196.33755
cvirNC_007175.2	15959	16894	267.57402
cvirNC_007175.2	16897	17176	144.355013333333
cvirNC_035780.1	13578	14594	4.02955366666667
cvirNC_035780.1	28961	33324	12.170855
cvirNC_035780.1	43111	66897	13.3482721666667
cvirNC_035780.1	85606	95254	12.3274563333333
cvirNC_035780.1	99840	106460	11.8848288333333
cvirNC_035780.1	108305	110077	19.5308656666667
cvirNC_035780.1	151859	157536	11.2341501666667
cvirNC_035780.1	163809	183798	13.301433
cvirNC_035780.1	164820	166793	7.12824783333333
cvirNC_035780.1	169468	170178	1.56121066666667
cvirNC_035780.1	190449	193594	10.1352706666667
cvirNC_035780.1	204243	207743	15.5890271666667
cvirNC_035780.1	214891	215322	5.60466016666667
cvirNC_035780.1	219451	225076	10.097142
cvirNC_035780.1	227734	231964	9.98239916666667
cvirNC_035780.1	232863	240144	7.59181783333333
cvirNC_035780.1	245532	253042	12.9203251666667
cvirNC_035780.1	258108	272839	12.0103483333333
cvirNC_035780.1	273173	278473	9.83795233333333
cvirNC_035780.1	281547	293861	14.5260466586938
cvirNC_035780.1	297131	311654	12.7423225
cvirNC_035780.1	315522	340261	11.660008
cvirNC_035780.1	341638	349379	13.9879643333333
cvirNC_035780.1	349425	360957	7.35238407278411
cvirNC_035780.1	366837	370670	13.681406
cvirNC_035780.1	372174	376974	35.246104
cvirNC_035780.1	380454	392035	13.9594788333333
cvirNC_035780.1	394983	409280	12.1422866666667
cvirNC_035780.1	409477	415627	8.53881
cvirNC_035780.1	444907	453310	9.18898866666667
cvirNC_035780.1	485479	500367	9.52176875389755
cvirNC_035780.1	502147	508829	13.615126
cvirNC_035780.1	511797	526500	11.8345691666667
cvirNC_035780.1	526525	542191	12.5891683333333
cvirNC_035780.1	527850	534541	6.8719625
cvirNC_035780.1	544088	573497	11.1180708333333
cvirNC_035780.1	573630	585444	12.355415
cvirNC_035780.1	604924	622983	15.5935698333333
cvirNC_035780.1	625970	662443	16.374572
cvirNC_035780.1	663525	671754	9.31171933333333
cvirNC_035780.1	671959	675504	7.9130465
cvirNC_035780.1	682820	730982	7.14045415
cvirNC_035780.1	686400	724737	11.3329413333333
cvirNC_035780.1	731072	776437	7.12585166666667
cvirNC_035780.1	777050	782032	11.5653981666667
cvirNC_035780.1	786318	790538	13.8059097028186
cvirNC_035780.1	790827	792748	4.90719116666667
cvirNC_035780.1	794545	800915	11.0022026666667
cvirNC_035780.1	802779	829369	9.63194966666667
cvirNC_035780.1	831309	836828	8.86534266666667
cvirNC_035780.1	841204	844397	9.89867666666667
cvirNC_035780.1	848082	854748	12.7805345
cvirNC_035780.1	860083	865303	11.4199006666667
cvirNC_035780.1	866950	870208	13.304894
cvirNC_035780.1	873286	876502	12.8968468333333
cvirNC_035780.1	884611	885996	11.531579
cvirNC_035780.1	886637	897738	7.75861816666667
cvirNC_035780.1	900326	903430	10.1798373333333
cvirNC_035780.1	904241	905671	20.329381
cvirNC_035780.1	908503	921086	8.71939866666667
cvirNC_035780.1	921228	923103	6.3589955
cvirNC_035780.1	927409	934670	13.6102108333333
cvirNC_035780.1	938662	951816	10.0569653333333
cvirNC_035780.1	957967	963094	4.8623829
cvirNC_035780.1	962702	964602	5.762407
cvirNC_035780.1	970363	981628	14.3438746666667
cvirNC_035780.1	984471	995318	10.7556933333333
cvirNC_035780.1	995489	1008165	9.37097633333333
cvirNC_035780.1	1038480	1053423	13.5722682798174
cvirNC_035780.1	1101448	1190874	5.87349210680976
cvirNC_035780.1	1229194	1261514	3.933445
cvirNC_035780.1	1280831	1282416	1.09287183333333
cvirNC_035780.1	1321893	1323311	8.03506633333333
cvirNC_035780.1	1332677	1336216	15.0225793333333
cvirNC_035780.1	1357834	1359771	7.89966916666667
cvirNC_035780.1	1389975	1399847	11.9140701666667
cvirNC_035780.1	1432944	1458091	6.03958016666667
cvirNC_035780.1	1449970	1456485	15.2054461666667
cvirNC_035780.1	1503802	1513830	3.26258066666667
cvirNC_035780.1	1513765	1522483	14.6125468333333
cvirNC_035780.1	1543472	1545772	14.5547911666667
cvirNC_035780.1	1547067	1548720	17.4859146666667
cvirNC_035780.1	1575100	1575558	25.4442726666667
cvirNC_035780.1	1584884	1591482	19.1197196666667
cvirNC_035780.1	1630358	1641055	13.5154715
cvirNC_035780.1	1674069	1678920	11.6128086666667
cvirNC_035780.1	1720303	1741095	15.0632056666667
cvirNC_035780.1	1763699	1778839	14.8224538333333
cvirNC_035780.1	1821446	1834660	12.0194298333333
