gene_name,slope_best_fit,r_squared,percentage_within_95_CI,num_exons,mean_exon_expression,std_dev_exon_expression,sum_exon_expression
gene-LOC111116054,-60.50000000000002,0.9072750557712964,100,3,80.66666666666667,63.51640208114227,242
gene-LOC111126949,-1.999999999999999,0.0023027149008680798,100,5,78.8,65.89916539683944,394
gene-LOC111110729,-82.1,0.7589056210769275,100,4,102.75,121.66723744158354,411
gene-LOC111112434,49.50000000000001,0.8675498642747552,100,3,62.333333333333336,53.144457221175315,187
gene-LOC111120752,1.4000000000000006,0.005861244019138743,100,5,60,28.91366458960192,300
gene-LOC111128944,NA,0,NA,1,416,NA,416
gene-LOC111128953,-86.99999999999996,1,NA,2,149.5,61.518289963229634,299
gene-LOC111105691,10.059523809523808,0.08250172999146006,87.5,8,61.625,85.78700784084799,493
gene-LOC111105685,150,1,NA,2,98,106.06601717798213,196
gene-LOC111105702,-0.20000000000000007,0.10000000000000016,100,4,2,0.816496580927726,8
gene-LOC111133554,29.00000000000003,1,NA,2,172.5,20.506096654409877,345
gene-LOC111125466,51.000000000000036,1,NA,2,214.5,36.062445840513924,429
gene-LOC111128964,NA,0,NA,1,39,NA,39
gene-LOC111113860,-1.3999999999999995,0.016593294954283785,80,5,57.4,17.18429515575195,287
gene-LOC111109550,-1.6190476190476173,0.03716922285457055,87.5,8,32,20.57043648401407,256
gene-LOC111109753,-0.20000000000000112,2.1008403361345135e-4,100,5,40,21.817424229271428,200
gene-LOC111109452,12.399999999999999,0.630887904152306,100,5,57.4,24.684002916869055,287
gene-LOC111124802,-2.563636363636364,0.005067729896105722,50,10,125.5,109.03236013017215,1255
gene-LOC111101273,3.9142857142857115,0.06541582680321344,83.33333333333334,6,44.166666666666664,28.631567659956495,265
gene-LOC111101250,21.283333333333328,0.12730986223371865,66.66666666666666,9,129.22222222222223,163.35756622955805,1163
gene-LOC111101262,3.4613212874082433,0.1792564325881915,40.909090909090914,22,53.63636363636363,53.087121076984616,1180
gene-LOC111133260,6.410714285714287,0.1608104618022717,80,15,53.86666666666667,71.49312321242279,808
gene-LOC111113503,-1.372727272727272,0.07762835353397789,81.81818181818183,11,34.27272727272727,16.340690983498273,377
gene-LOC111102393,-1.5000000000000029,0.010703978575408848,91.66666666666666,12,34.583333333333336,52.274552010311744,415
gene-LOC111119377,172.99999999999994,1,NA,2,161.5,122.32947314527271,323
gene-LOC111101799,-5.900000000000001,0.5078045222465356,100,4,42.25,10.688779163215974,169
gene-LOC111117743,1.6877470355731223,0.07671036576808417,68.18181818181817,22,51.59090909090909,39.56990088788518,1135
gene-LOC111117672,1.3670242800677594,0.04484434666910294,72.72727272727273,22,37.86363636363637,41.91862349446837,833
gene-LOC111114053,12.899999999999997,0.6772342503662708,100,5,55.4,24.78507615481542,277
gene-LOC111109809,-22.380952380952376,0.4709933450068897,75,8,75.25,79.88160882563288,602
gene-LOC111102064,0.3032967032967036,0.006315957044593777,57.14285714285714,14,30.428571428571427,15.964934101934805,426
gene-LOC111112773,-51.60000000000001,0.5323288788656704,100,5,126.4,111.8226274060845,632
gene-LOC111135169,-3.39010989010989,0.11114864509769792,84.61538461538461,13,52.92307692307692,39.601055411991105,688
gene-LOC111135172,9.842857142857145,0.1620972759164903,86.66666666666667,15,76.6,109.33225899588308,1149
gene-LOC111135178,-438.99999999999983,1,NA,2,230.5,310.41987694089437,461
gene-LOC111114201,0.04394452507660016,3.686323592403952e-4,45.28301886792453,53,40.509433962264154,35.34697388935831,2147
gene-LOC111114212,-0.7243604004449385,0.1642543641019333,43.333333333333336,30,35.53333333333333,15.734287911817109,1066
gene-LOC111138315,1.8978328173374617,0.04324914318253171,61.111111111111114,18,53.05555555555556,48.718244223919214,955
gene-LOC111138321,1.2306149732620322,0.03354229038212363,39.39393939393939,33,65.18181818181819,64.97280899800246,2151
gene-LOC111121058,-6.692307692307695,0.13110442289846194,91.66666666666666,12,50.666666666666664,66.64060096495001,608
gene-LOC111138070,7.457142857142859,0.3486144162124816,100,6,26.5,23.62837277511932,159
gene-LOC111108931,10.405263157894737,0.39514629622390474,47.368421052631575,19,68.78947368421052,93.14837563286295,1307
gene-LOC111108878,23.790909090909082,0.5060126549544797,54.54545454545454,11,103,110.92429851029034,1133
gene-LOC111108901,9.86363636363636,0.18706064246307177,81.81818181818183,11,54.81818181818182,75.63837409915443,603
gene-LOC111130095,-4.266666666666666,0.32820512820512804,77.77777777777779,9,31.333333333333332,20.396078054371138,282
gene-LOC111103204,-6.999999999999998,0.015958416925041016,80,5,58.8,87.61392583373947,294
gene-LOC111103224,-17.8,0.7656839052682456,100,4,24.5,26.261505415087434,98
gene-LOC111131060,7.904761904761905,0.33027698872148903,75,8,49.5,33.69188117548287,396
gene-LOC111131074,-2.899999999999996,0.0770601420630956,54.54545454545454,11,64.9090909090909,34.64810108925032,714
gene-LOC111131094,-2.464285714285713,0.06019267725295855,100,7,52.142857142857146,21.698145630664474,365
gene-LOC111131052,-6.714285714285711,0.2706610304478344,71.42857142857143,7,49.57142857142857,27.87984422993992,347
gene-LOC111116497,-31.599999999999998,0.3691152117340906,100,5,68.2,82.23867703216048,341
gene-LOC111115921,-6.1785714285714395,0.03565149233818716,100,7,54.42857142857143,70.68912491290567,381
gene-LOC111116467,133.50000000000006,0.7947727914616565,100,3,97.33333333333333,149.74756536696458,292
gene-LOC111104259,-293.9999999999999,1,NA,2,167,207.88939366884497,334
gene-LOC111114340,49.00000000000002,1,NA,2,97.5,34.64823227814083,195
gene-LOC111134965,-25.028571428571453,0.08992448638083048,83.33333333333334,6,121,156.14608544564925,726
gene-LOC111111519,155,1,NA,2,105.5,109.60155108391487,211
gene-LOC111113087,-204.99999999999997,1,NA,2,128.5,144.95689014324225,257
gene-LOC111136780,0.21682551319648088,0.0068457014363089,56.25,32,26.09375,24.58344496056304,835
gene-LOC111136794,-0.8999999999999991,0.11705202312138735,100,5,22.4,4.159326868617084,112
gene-LOC111118408,6.133333333333334,0.08743538886885446,90,10,90.6,62.79985845702379,906
gene-LOC111133372,-50.03571428571428,0.4402747072313763,71.42857142857143,7,131.85714285714286,162.90020316278367,923
gene-LOC111118838,-0.3333333333333328,0.033975084937712355,77.77777777777779,9,13.555555555555555,4.9525526527012085,122
gene-LOC111118844,-0.2857142857142864,0.07142857142857141,83.33333333333334,6,10,2,60
gene-LOC111110627,-99.99999999999999,1,NA,2,161,70.71067811865476,322
gene-LOC111137104,-0.9317391304347828,0.1172935224778898,41.66666666666667,24,27.375,19.237220489819027,657
gene-LOC111105880,6.149999999999998,0.3690666787134079,77.77777777777779,9,33.111111111111114,27.72383651501197,298
gene-LOC111102585,38.37142857142858,0.5200415960464534,100,6,113.16666666666667,99.54580185355215,679
gene-LOC111099747,6.681818181818181,0.33533103251356283,72.72727272727273,11,44.18181818181818,38.269617666807655,486
gene-LOC111128995,-5.3928571428571415,0.5336313424452354,85.71428571428571,7,8,15.947831618540915,56
gene-LOC111124195,-0.5000000000000042,0.0017814726840855361,100,3,8.333333333333334,11.846237095944574,25
gene-LOC111129046,NA,0,NA,1,664,NA,664
gene-LOC111129066,NA,0,NA,1,1054,NA,1054
gene-LOC111124462,25,1,NA,2,21.5,17.67766952966369,43
gene-LOC111115406,14.00000000000007,1,NA,2,214,9.899494936611665,428
gene-LOC111135942,59.79999999999998,0.816358024691358,100,5,98.2,104.64798134699016,491
gene-LOC111135933,52.00000000000005,1,NA,2,210,36.76955262170047,420
gene-LOC111114441,57.79999999999998,0.4778772707767128,100,4,65.5,107.9428861327446,262
gene-LOC111114430,69.49999999999997,0.37171972398224856,100,3,121.66666666666667,113.9926898240994,365
gene-LOC111111547,35.5,0.7038340174806622,100,4,65.75,54.62828937464544,263
gene-LOC111103592,-43.50000000000005,0.23352462051092165,100,3,137,90.0166651237425,411
gene-LOC111129108,NA,0,NA,1,190,NA,190
gene-LOC111129120,-24.59999999999999,0.025603533622724814,100,4,276.5,198.47669888427708,1106
gene-LOC111135210,6.499999999999975,0.027863266652011325,100,3,157.66666666666666,38.94012497839899,473
gene-LOC111113958,-42.99999999999998,1,NA,2,152.5,30.405591591021544,305
gene-LOC111103230,-59.500000000000085,0.11527878781300548,100,3,185.66666666666666,175.24363992263267,557
gene-LOC111101640,178.00000000000006,0.5551194898030697,100,3,225,238.90583919192935,675
gene-LOC111103171,-79.9999999999999,1,NA,2,206,56.568542494923804,412
gene-LOC111103163,-279.7,0.5699797783892144,100,4,558.25,478.28539248723314,2233
gene-LOC111103177,92.3,0.2639990827436501,100,4,248.75,231.9128787569447,995
gene-LOC111115024,NA,0,NA,1,218,NA,218
gene-LOC111115591,-1.9428571428571433,0.6351648351648349,83.33333333333334,6,3,4.560701700396552,18
gene-LOC111119406,398.99999999999994,1,NA,2,212.5,282.13560569343247,425
gene-LOC111102439,204,1,NA,2,143,144.2497833620557,286
gene-LOC111102448,-0.9450549450549455,0.0591888344697334,57.14285714285714,14,29.285714285714285,16.25010566322367,410
gene-LOC111129274,-119.9,0.027146030948455316,100,4,690.75,939.4861627506815,2763
gene-LOC111113346,1.4121212121212119,0.06563419956597695,80,10,21.5,16.688319268278637,215
gene-LOC111100652,0.626315789473684,0.03293298484598306,45,20,28.95,20.417935871756427,579
gene-LOC111134791,7.289215686274509,0.20788478403446545,58.82352941176471,17,51.705882352941174,80.73085276544089,879
gene-LOC111128971,-14.24175824175824,0.7177045637217387,46.15384615384615,13,74.23076923076923,65.46901792216153,965
gene-LOC111104153,-0.5363636363636368,0.047857881712123414,33.33333333333333,21,30.666666666666668,15.212933094355385,644
gene-LOC111134573,-34.4,0.39527022513193927,100,4,81.5,70.63757262722628,326
gene-LOC111129318,0,NA,NA,2,0,0,0
gene-LOC111134552,-2.249999999999999,0.24641460234680584,62.5,8,12.125,11.10260587172476,97
gene-LOC111134566,0.5120879120879109,0.0070002043751760815,57.14285714285714,14,24.785714285714285,25.60402183380443,347
gene-LOC111121766,6.000000000000027,1,NA,2,68,4.242640687119285,136
gene-LOC111121733,-0.9470588235294112,0.012536606009310185,62.5,16,56.25,40.26992260567019,900
gene-LOC111129336,14.4,0.4548565411950511,100,5,28.2,33.7594431233692,141
gene-LOC111109736,0.19999999999999937,4.255319148936126e-4,100,4,16,12.516655570345725,64
gene-LOC111109754,-0.5885695187165778,0.2543165425540292,42.42424242424242,33,7.787878787878788,11.285382070840512,257
gene-LOC111109763,-6.5714285714285765,0.05277334397446136,83.33333333333334,6,38,53.51635264103861,228
gene-LOC111129344,-6.299999999999999,0.3116607773851589,100,4,18.25,14.568802284333465,73
gene-LOC111109745,1.2669354838709677,0.11525469557014638,35.483870967741936,31,29.29032258064516,33.93051089937305,908
gene-LOC111132141,75.00000000000003,0.539568345323741,100,3,114,102.10288928331069,342
gene-LOC111132148,203,1,NA,2,130.5,143.54267658086914,261
gene-LOC111132134,-1.7818181818181824,0.03647688860192184,63.63636363636363,11,46.27272727272727,30.942174807504752,509
