GO.ID,Term,Annotated,Significant,Expected,classic
GO:0015074,DNA integration,75,27,12.55,4.1e-05
GO:0006119,oxidative phosphorylation,15,8,2.51,0.0013
GO:0044000,movement in host,82,25,13.72,0.0014
GO:0009615,response to virus,123,34,20.58,0.0015
GO:0031032,actomyosin structure organization,123,34,20.58,0.0015
GO:0006935,chemotaxis,83,25,13.89,0.0017
GO:0002066,columnar/cuboidal epithelial cell develo...,7,5,1.17,0.0020
GO:0051607,defense response to virus,102,29,17.07,0.0020
GO:0140546,defense response to symbiont,102,29,17.07,0.0020
GO:0030239,myofibril assembly,71,22,11.88,0.0021
GO:0044409,entry into host,71,22,11.88,0.0021
GO:0055002,striated muscle cell development,71,22,11.88,0.0021
GO:0046718,viral entry into host cell,67,21,11.21,0.0023
GO:0044403,biological process involved in symbiotic...,108,30,18.07,0.0026
GO:0032606,type I interferon production,56,18,9.37,0.0034
GO:0051767,nitric-oxide synthase biosynthetic proce...,5,4,0.84,0.0034
GO:0051769,regulation of nitric-oxide synthase bios...,5,4,0.84,0.0034
GO:0060576,intestinal epithelial cell development,5,4,0.84,0.0034
GO:0000429,carbon catabolite regulation of transcri...,3,3,0.5,0.0047
GO:0045990,carbon catabolite regulation of transcri...,3,3,0.5,0.0047
GO:0045924,regulation of female receptivity,25,10,4.18,0.0048
GO:0042330,taxis,94,26,15.73,0.0051
GO:0051491,positive regulation of filopodium assemb...,18,8,3.01,0.0054
GO:0051701,biological process involved in interacti...,100,27,16.73,0.0062
GO:0060326,cell chemotaxis,30,11,5.02,0.0068
GO:0030029,actin filament-based process,328,72,54.88,0.0073
GO:2000243,positive regulation of reproductive proc...,19,8,3.18,0.0080
GO:0016266,O-glycan processing,12,6,2.01,0.0080
GO:0019058,viral life cycle,121,31,20.25,0.0081
GO:0008344,adult locomotory behavior,43,14,7.19,0.0081
GO:0040029,epigenetic regulation of gene expression,43,14,7.19,0.0081
GO:0055001,muscle cell development,126,32,21.08,0.0083
GO:0030036,actin cytoskeleton organization,316,69,52.87,0.0096
GO:0046847,filopodium assembly,44,14,7.36,0.0101
GO:0010628,positive regulation of gene expression,254,57,42.5,0.0101
GO:0007621,negative regulation of female receptivit...,16,7,2.68,0.0102
GO:0002376,immune system process,707,141,118.3,0.0105
GO:0001890,placenta development,40,13,6.69,0.0107
GO:0032608,interferon-beta production,40,13,6.69,0.0107
GO:0051897,positive regulation of phosphatidylinosi...,40,13,6.69,0.0107
GO:0051489,regulation of filopodium assembly,36,12,6.02,0.0113
GO:0030595,leukocyte chemotaxis,20,8,3.35,0.0114
