GO.ID,Term,Annotated,Significant,Expected,classic
GO:0009725,response to hormone,4,3,1.21,0.081
GO:0032870,cellular response to hormone stimulus,4,3,1.21,0.081
GO:0055085,transmembrane transport,4,3,1.21,0.081
GO:0007062,sister chromatid cohesion,2,2,0.6,0.089
GO:0007093,mitotic cell cycle checkpoint signaling,2,2,0.6,0.089
GO:0009798,axis specification,2,2,0.6,0.089
GO:0016072,rRNA metabolic process,2,2,0.6,0.089
GO:0019725,cellular homeostasis,2,2,0.6,0.089
GO:0034976,response to endoplasmic reticulum stress,2,2,0.6,0.089
GO:0050804,modulation of chemical synaptic transmis...,2,2,0.6,0.089
GO:0051402,neuron apoptotic process,2,2,0.6,0.089
GO:0071407,cellular response to organic cyclic comp...,2,2,0.6,0.089
GO:0071569,protein ufmylation,2,2,0.6,0.089
GO:0098660,inorganic ion transmembrane transport,2,2,0.6,0.089
GO:0099177,regulation of trans-synaptic signaling,2,2,0.6,0.089
GO:0071310,cellular response to organic substance,9,5,2.72,0.091
GO:1901135,carbohydrate derivative metabolic proces...,9,5,2.72,0.091
GO:0051716,cellular response to stimulus,30,12,9.06,0.122
GO:0070887,cellular response to chemical stimulus,10,5,3.02,0.141
GO:0007268,chemical synaptic transmission,5,3,1.51,0.160
GO:0032446,protein modification by small protein co...,5,3,1.51,0.160
GO:0098916,anterograde trans-synaptic signaling,5,3,1.51,0.160
GO:0099536,synaptic signaling,5,3,1.51,0.160
GO:0099537,trans-synaptic signaling,5,3,1.51,0.160
GO:0006915,apoptotic process,8,4,2.42,0.189
GO:0007267,cell-cell signaling,8,4,2.42,0.189
GO:0007507,heart development,8,4,2.42,0.189
GO:0008219,cell death,8,4,2.42,0.189
GO:0012501,programmed cell death,8,4,2.42,0.189
GO:0007154,cell communication,29,11,8.76,0.199
GO:0023052,signaling,29,11,8.76,0.199
GO:0006793,phosphorus metabolic process,11,5,3.32,0.203
GO:0006796,phosphate-containing compound metabolic ...,11,5,3.32,0.203
GO:0051649,establishment of localization in cell,11,5,3.32,0.203
GO:0007165,signal transduction,26,10,7.85,0.204
GO:0000075,cell cycle checkpoint signaling,3,2,0.91,0.216
GO:0000086,G2/M transition of mitotic cell cycle,3,2,0.91,0.216
GO:0006468,protein phosphorylation,3,2,0.91,0.216
GO:0010243,response to organonitrogen compound,3,2,0.91,0.216
GO:0010389,regulation of G2/M transition of mitotic...,3,2,0.91,0.216
GO:0014070,response to organic cyclic compound,3,2,0.91,0.216
GO:0016310,phosphorylation,3,2,0.91,0.216
GO:0021700,developmental maturation,3,2,0.91,0.216
GO:0031396,regulation of protein ubiquitination,3,2,0.91,0.216
GO:0031398,positive regulation of protein ubiquitin...,3,2,0.91,0.216
GO:0042981,regulation of apoptotic process,3,2,0.91,0.216
GO:0043066,negative regulation of apoptotic process,3,2,0.91,0.216
GO:0043067,regulation of programmed cell death,3,2,0.91,0.216
GO:0043069,negative regulation of programmed cell d...,3,2,0.91,0.216
GO:0044839,cell cycle G2/M phase transition,3,2,0.91,0.216
GO:0045216,cell-cell junction organization,3,2,0.91,0.216
GO:0051129,negative regulation of cellular componen...,3,2,0.91,0.216
GO:0071417,cellular response to organonitrogen comp...,3,2,0.91,0.216
GO:0071695,anatomical structure maturation,3,2,0.91,0.216
GO:0097194,execution phase of apoptosis,3,2,0.91,0.216
GO:1901875,positive regulation of post-translationa...,3,2,0.91,0.216
GO:1902532,negative regulation of intracellular sig...,3,2,0.91,0.216
GO:1902749,regulation of cell cycle G2/M phase tran...,3,2,0.91,0.216
GO:1903320,regulation of protein modification by sm...,3,2,0.91,0.216
