GO.ID,Term,Annotated,Significant,Expected,classic
GO:0006629,lipid metabolic process,8,6,2.78,0.020
GO:0006631,fatty acid metabolic process,3,3,1.04,0.039
GO:0044255,cellular lipid metabolic process,5,4,1.74,0.048
GO:0002218,activation of innate immune response,2,2,0.69,0.118
GO:0002220,innate immune response activating cell s...,2,2,0.69,0.118
GO:0002221,pattern recognition receptor signaling p...,2,2,0.69,0.118
GO:0002253,activation of immune response,2,2,0.69,0.118
GO:0002429,immune response-activating cell surface ...,2,2,0.69,0.118
GO:0002752,cell surface pattern recognition recepto...,2,2,0.69,0.118
GO:0002757,immune response-activating signaling pat...,2,2,0.69,0.118
GO:0002758,innate immune response-activating signal...,2,2,0.69,0.118
GO:0002764,immune response-regulating signaling pat...,2,2,0.69,0.118
GO:0002768,immune response-regulating cell surface ...,2,2,0.69,0.118
GO:0002833,positive regulation of response to bioti...,2,2,0.69,0.118
GO:0006084,acetyl-CoA metabolic process,2,2,0.69,0.118
GO:0006637,acyl-CoA metabolic process,2,2,0.69,0.118
GO:0006720,isoprenoid metabolic process,2,2,0.69,0.118
GO:0008380,RNA splicing,2,2,0.69,0.118
GO:0031349,positive regulation of defense response,2,2,0.69,0.118
GO:0033865,nucleoside bisphosphate metabolic proces...,2,2,0.69,0.118
GO:0033875,ribonucleoside bisphosphate metabolic pr...,2,2,0.69,0.118
GO:0034032,purine nucleoside bisphosphate metabolic...,2,2,0.69,0.118
GO:0035383,thioester metabolic process,2,2,0.69,0.118
GO:0045089,positive regulation of innate immune res...,2,2,0.69,0.118
GO:0050778,positive regulation of immune response,2,2,0.69,0.118
GO:0051050,positive regulation of transport,2,2,0.69,0.118
GO:0051291,protein heterooligomerization,2,2,0.69,0.118
GO:1904683,regulation of metalloendopeptidase activ...,2,2,0.69,0.118
GO:1904684,negative regulation of metalloendopeptid...,2,2,0.69,0.118
GO:1905048,regulation of metallopeptidase activity,2,2,0.69,0.118
GO:1905049,negative regulation of metallopeptidase ...,2,2,0.69,0.118
GO:0032787,monocarboxylic acid metabolic process,4,3,1.39,0.119
GO:0061024,membrane organization,4,3,1.39,0.119
GO:0016043,cellular component organization,25,11,8.68,0.187
GO:0065003,protein-containing complex assembly,7,4,2.43,0.187
GO:0007186,G protein-coupled receptor signaling pat...,5,3,1.74,0.226
GO:0021700,developmental maturation,5,3,1.74,0.226
GO:0044283,small molecule biosynthetic process,5,3,1.74,0.226
GO:0071840,cellular component organization or bioge...,26,11,9.03,0.237
GO:0002684,positive regulation of immune system pro...,3,2,1.04,0.276
GO:0006397,mRNA processing,3,2,1.04,0.276
GO:0006790,sulfur compound metabolic process,3,2,1.04,0.276
GO:0006898,receptor-mediated endocytosis,3,2,1.04,0.276
GO:0006997,nucleus organization,3,2,1.04,0.276
GO:0007283,spermatogenesis,3,2,1.04,0.276
GO:0008610,lipid biosynthetic process,3,2,1.04,0.276
GO:0010466,negative regulation of peptidase activit...,3,2,1.04,0.276
GO:0010951,negative regulation of endopeptidase act...,3,2,1.04,0.276
GO:0010975,regulation of neuron projection developm...,3,2,1.04,0.276
GO:0032103,positive regulation of response to exter...,3,2,1.04,0.276
GO:0048232,male gamete generation,3,2,1.04,0.276
GO:0051259,protein complex oligomerization,3,2,1.04,0.276
GO:1901615,organic hydroxy compound metabolic proce...,3,2,1.04,0.276
GO:0044281,small molecule metabolic process,16,7,5.56,0.289
GO:0051179,localization,19,8,6.6,0.310
GO:0006810,transport,11,5,3.82,0.317
GO:0051234,establishment of localization,11,5,3.82,0.317
GO:0006082,organic acid metabolic process,6,3,2.08,0.345
GO:0019752,carboxylic acid metabolic process,6,3,2.08,0.345
GO:0031175,neuron projection development,6,3,2.08,0.345
GO:0043436,oxoacid metabolic process,6,3,2.08,0.345
GO:0000041,transition metal ion transport,1,1,0.35,0.347
GO:0000245,spliceosomal complex assembly,1,1,0.35,0.347
GO:0000375,RNA splicing, via transesterification re...,1,1,0.35,0.347
GO:0000377,RNA splicing, via transesterification re...,1,1,0.35,0.347
GO:0000398,mRNA splicing, via spliceosome,1,1,0.35,0.347
GO:0000724,double-strand break repair via homologou...,1,1,0.35,0.347
GO:0000725,recombinational repair,1,1,0.35,0.347
GO:0000727,double-strand break repair via break-ind...,1,1,0.35,0.347
GO:0001561,fatty acid alpha-oxidation,1,1,0.35,0.347
GO:0001816,cytokine production,1,1,0.35,0.347
GO:0001867,complement activation, lectin pathway,1,1,0.35,0.347
GO:0002793,positive regulation of peptide secretion,1,1,0.35,0.347
GO:0006081,cellular aldehyde metabolic process,1,1,0.35,0.347
GO:0006083,acetate metabolic process,1,1,0.35,0.347
GO:0006085,acetyl-CoA biosynthetic process,1,1,0.35,0.347
GO:0006103,2-oxoglutarate metabolic process,1,1,0.35,0.347
GO:0006261,DNA-templated DNA replication,1,1,0.35,0.347
GO:0006270,DNA replication initiation,1,1,0.35,0.347
GO:0006271,DNA strand elongation involved in DNA re...,1,1,0.35,0.347
GO:0006403,RNA localization,1,1,0.35,0.347
GO:0006405,RNA export from nucleus,1,1,0.35,0.347
GO:0006406,mRNA export from nucleus,1,1,0.35,0.347
GO:0006470,protein dephosphorylation,1,1,0.35,0.347
GO:0006497,protein lipidation,1,1,0.35,0.347
GO:0006498,N-terminal protein lipidation,1,1,0.35,0.347
GO:0006499,N-terminal protein myristoylation,1,1,0.35,0.347
GO:0006577,amino-acid betaine metabolic process,1,1,0.35,0.347
GO:0006633,fatty acid biosynthetic process,1,1,0.35,0.347
GO:0006743,ubiquinone metabolic process,1,1,0.35,0.347
GO:0006744,ubiquinone biosynthetic process,1,1,0.35,0.347
