GO.ID,Term,Annotated,Significant,Expected,classic
GO:0006996,organelle organization,3601,275,176.43,7.1e-15
GO:0043087,regulation of GTPase activity,210,37,10.29,1.2e-11
GO:0044085,cellular component biogenesis,3902,271,191.18,5.0e-10
GO:0022607,cellular component assembly,3473,245,170.16,1.1e-09
GO:0071840,cellular component organization or bioge...,7411,459,363.1,1.2e-09
GO:0051641,cellular localization,3948,271,193.43,1.6e-09
GO:0070727,cellular macromolecule localization,2941,212,144.09,3.3e-09
GO:0008104,protein localization,2921,209,143.11,7.9e-09
GO:0016070,RNA metabolic process,4846,317,237.43,8.1e-09
GO:0007017,microtubule-based process,897,84,43.95,9.8e-09
GO:0007049,cell cycle,2386,177,116.9,1.1e-08
GO:0016043,cellular component organization,7088,436,347.27,1.1e-08
GO:0022402,cell cycle process,1514,122,74.18,3.6e-08
GO:0033036,macromolecule localization,3369,231,165.06,4.1e-08
GO:0046907,intracellular transport,1606,127,78.69,5.4e-08
GO:0051649,establishment of localization in cell,2261,165,110.78,1.1e-07
GO:0120031,plasma membrane bounded cell projection ...,687,66,33.66,1.5e-07
GO:0030031,cell projection assembly,692,66,33.9,2.0e-07
GO:0048285,organelle fission,454,49,22.24,2.1e-07
GO:0070925,organelle assembly,1116,93,54.68,3.9e-07
GO:0032774,RNA biosynthetic process,3487,232,170.84,4.3e-07
GO:0000280,nuclear division,412,45,20.19,4.7e-07
GO:0006892,post-Golgi vesicle-mediated transport,133,22,6.52,5.2e-07
GO:0006351,DNA-templated transcription,3460,230,169.52,5.3e-07
GO:0006355,regulation of DNA-templated transcriptio...,2980,203,146,5.3e-07
GO:0043547,positive regulation of GTPase activity,155,24,7.59,5.6e-07
GO:2001141,regulation of RNA biosynthetic process,2989,203,146.44,6.6e-07
GO:0006403,RNA localization,224,29,10.97,1.8e-06
GO:0048193,Golgi vesicle transport,398,42,19.5,2.7e-06
GO:0051252,regulation of RNA metabolic process,3220,212,157.76,3.2e-06
GO:0060271,cilium assembly,429,44,21.02,3.4e-06
GO:0016570,histone modification,403,42,19.74,3.7e-06
GO:0000226,microtubule cytoskeleton organization,635,58,31.11,4.2e-06
GO:0043412,macromolecule modification,4316,271,211.46,4.7e-06
GO:0044782,cilium organization,450,45,22.05,5.1e-06
GO:0051236,establishment of RNA localization,199,26,9.75,5.2e-06
GO:0032438,melanosome organization,22,8,1.08,5.6e-06
GO:0048753,pigment granule organization,22,8,1.08,5.6e-06
GO:0030030,cell projection organization,2090,146,102.4,7.3e-06
GO:0036211,protein modification process,4087,257,200.24,8.0e-06
GO:0019219,regulation of nucleobase-containing comp...,3519,226,172.41,8.1e-06
GO:0065009,regulation of molecular function,2132,148,104.46,8.7e-06
GO:0051336,regulation of hydrolase activity,758,65,37.14,9.1e-06
GO:0015031,protein transport,2156,149,105.63,1.0e-05
GO:0051650,establishment of vesicle localization,138,20,6.76,1.3e-05
GO:0120036,plasma membrane bounded cell projection ...,2047,142,100.29,1.4e-05
GO:0050657,nucleic acid transport,198,25,9.7,1.4e-05
GO:0050658,RNA transport,198,25,9.7,1.4e-05
GO:0051301,cell division,1040,82,50.95,1.5e-05
GO:0045184,establishment of protein localization,2281,155,111.76,1.6e-05
GO:0051648,vesicle localization,152,21,7.45,1.7e-05
GO:0016482,cytosolic transport,130,19,6.37,1.9e-05
GO:0046599,regulation of centriole replication,19,7,0.93,2.0e-05
GO:1902115,regulation of organelle assembly,144,20,7.06,2.5e-05
GO:0051640,organelle localization,584,52,28.61,2.6e-05
GO:0071705,nitrogen compound transport,2640,174,129.35,2.7e-05
GO:0007010,cytoskeleton organization,1611,115,78.93,2.9e-05
GO:0019941,modification-dependent protein catabolic...,664,57,32.53,3.1e-05
GO:0006886,intracellular protein transport,836,68,40.96,3.1e-05
GO:0019538,protein metabolic process,6343,372,310.77,3.1e-05
GO:0007051,spindle organization,195,24,9.55,3.2e-05
GO:0007059,chromosome segregation,412,40,20.19,3.3e-05
GO:0006366,transcription by RNA polymerase II,1498,108,73.39,3.5e-05
GO:0043170,macromolecule metabolic process,11458,630,561.38,3.7e-05
GO:0010467,gene expression,6689,389,327.73,4.0e-05
GO:0034654,nucleobase-containing compound biosynthe...,4311,264,211.22,4.1e-05
GO:0051603,proteolysis involved in protein cataboli...,780,64,38.22,4.1e-05
GO:0043632,modification-dependent macromolecule cat...,673,57,32.97,4.5e-05
GO:0006511,ubiquitin-dependent protein catabolic pr...,659,56,32.29,4.8e-05
GO:0051668,localization within membrane,449,42,22,5.0e-05
GO:0098813,nuclear chromosome segregation,293,31,14.36,5.0e-05
GO:0019222,regulation of metabolic process,6117,358,299.7,5.7e-05
GO:0030163,protein catabolic process,973,75,47.67,7.3e-05
GO:0090304,nucleic acid metabolic process,6233,363,305.38,7.5e-05
GO:0006357,regulation of transcription by RNA polym...,1342,97,65.75,7.9e-05
GO:0046600,negative regulation of centriole replica...,6,4,0.29,7.9e-05
GO:0051028,mRNA transport,169,21,8.28,8.5e-05
GO:0002576,platelet degranulation,67,12,3.28,8.9e-05
GO:0033365,protein localization to organelle,770,62,37.73,9.2e-05
GO:0051171,regulation of nitrogen compound metaboli...,5045,300,247.18,9.6e-05
GO:0051179,localization,6641,383,325.37,0.00010
GO:0042461,photoreceptor cell development,111,16,5.44,0.00010
GO:0007018,microtubule-based movement,361,35,17.69,0.00010
GO:0046530,photoreceptor cell differentiation,159,20,7.79,0.00010
GO:0032886,regulation of microtubule-based process,197,23,9.65,0.00011
GO:0097711,ciliary basal body-plasma membrane docki...,49,10,2.4,0.00011
GO:0019438,aromatic compound biosynthetic process,4551,273,222.97,0.00012
GO:0044093,positive regulation of molecular functio...,1276,92,62.52,0.00013
GO:0044238,primary metabolic process,13739,736,673.14,0.00014
GO:0032880,regulation of protein localization,846,66,41.45,0.00014
GO:1901362,organic cyclic compound biosynthetic pro...,4767,284,233.56,0.00014
GO:0051493,regulation of cytoskeleton organization,455,41,22.29,0.00014
GO:0018193,peptidyl-amino acid modification,977,74,47.87,0.00014
GO:0030705,cytoskeleton-dependent intracellular tra...,151,19,7.4,0.00015
GO:0051225,spindle assembly,127,17,6.22,0.00016
GO:0018130,heterocycle biosynthetic process,4587,274,224.74,0.00016
GO:1903046,meiotic cell cycle process,217,24,10.63,0.00017
