GO.ID,Term,Annotated,Significant,Expected,classic
GO:0051234,establishment of localization,5636,302,218.66,2.0e-10
GO:0007155,cell adhesion,2485,158,96.41,2.6e-10
GO:0006810,transport,5534,297,214.7,2.7e-10
GO:0051179,localization,5938,314,230.38,3.3e-10
GO:0048646,anatomical structure formation involved ...,1722,109,66.81,2.8e-07
GO:0051130,positive regulation of cellular componen...,1187,82,46.05,3.1e-07
GO:0009653,anatomical structure morphogenesis,3629,197,140.79,3.7e-07
GO:0048869,cellular developmental process,4668,239,181.1,1.6e-06
GO:0030154,cell differentiation,4658,237,180.72,2.9e-06
GO:0048856,anatomical structure development,7495,354,290.78,5.5e-06
GO:0032501,multicellular organismal process,8879,410,344.48,5.8e-06
GO:0016192,vesicle-mediated transport,2265,128,87.88,9.2e-06
GO:0032502,developmental process,8012,373,310.84,1.1e-05
GO:0007010,cytoskeleton organization,1541,93,59.79,1.5e-05
GO:0007275,multicellular organism development,6365,304,246.94,1.6e-05
GO:0016043,cellular component organization,6516,309,252.8,2.4e-05
GO:0030029,actin filament-based process,793,55,30.77,2.5e-05
GO:0009611,response to wounding,665,48,25.8,3.1e-05
GO:0010960,magnesium ion homeostasis,53,10,2.06,3.2e-05
GO:0098609,cell-cell adhesion,1057,68,41.01,3.3e-05
GO:0003008,system process,1680,98,65.18,3.4e-05
GO:0048731,system development,5088,248,197.4,3.7e-05
GO:0030182,neuron differentiation,1858,106,72.08,4.0e-05
GO:0048468,cell development,3011,158,116.82,4.3e-05
GO:0030036,actin cytoskeleton organization,771,53,29.91,4.5e-05
GO:0061024,membrane organization,859,57,33.33,6.2e-05
GO:0071840,cellular component organization or bioge...,6873,320,266.65,7.2e-05
GO:0048699,generation of neurons,1930,108,74.88,7.3e-05
GO:0097435,supramolecular fiber organization,809,54,31.39,8.3e-05
GO:0022008,neurogenesis,2136,117,82.87,8.7e-05
GO:0044089,positive regulation of cellular componen...,387,31,15.01,0.00012
GO:0032989,cellular component morphogenesis,1094,67,42.44,0.00016
GO:0019226,transmission of nerve impulse,102,13,3.96,0.00016
GO:0043062,extracellular structure organization,359,29,13.93,0.00018
GO:1903036,positive regulation of response to wound...,148,16,5.74,0.00021
GO:0007399,nervous system development,3234,163,125.47,0.00024
GO:0010765,positive regulation of sodium ion transp...,55,9,2.13,0.00025
GO:0007601,visual perception,262,23,10.16,0.00025
GO:0035023,regulation of Rho protein signal transdu...,122,14,4.73,0.00028
GO:0048469,cell maturation,354,28,13.73,0.00032
GO:0051146,striated muscle cell differentiation,319,26,12.38,0.00032
GO:0050953,sensory perception of light stimulus,268,23,10.4,0.00034
GO:0050877,nervous system process,1066,64,41.36,0.00038
GO:0051128,regulation of cellular component organiz...,2178,115,84.5,0.00042
GO:0006909,phagocytosis,529,37,20.52,0.00044
GO:0031032,actomyosin structure organization,309,25,11.99,0.00047
GO:1903034,regulation of response to wounding,240,21,9.31,0.00047
GO:0010644,cell communication by electrical couplin...,48,8,1.86,0.00047
GO:0030239,myofibril assembly,191,18,7.41,0.00048
GO:0055002,striated muscle cell development,191,18,7.41,0.00048
GO:0042060,wound healing,346,27,13.42,0.00050
GO:0010927,cellular component assembly involved in ...,277,23,10.75,0.00054
GO:0046177,D-gluconate catabolic process,5,3,0.19,0.00055
GO:0021700,developmental maturation,460,33,17.85,0.00057
GO:0048666,neuron development,1578,87,61.22,0.00060
GO:0006897,endocytosis,1149,67,44.58,0.00061
GO:0030198,extracellular matrix organization,351,27,13.62,0.00062
GO:0022600,digestive system process,63,9,2.44,0.00069
GO:0034446,substrate adhesion-dependent cell spread...,120,13,4.66,0.00079
GO:0032735,positive regulation of interleukin-12 pr...,12,4,0.47,0.00087
GO:0098657,import into cell,1187,68,46.05,0.00089
GO:0046578,regulation of Ras protein signal transdu...,202,18,7.84,0.00094
GO:0007528,neuromuscular junction development,203,18,7.88,0.00099
GO:0045199,maintenance of epithelial cell apical/ba...,108,12,4.19,0.00099
GO:0034330,cell junction organization,774,48,30.03,0.00101
GO:0050808,synapse organization,457,32,17.73,0.00102
GO:0019521,D-gluconate metabolic process,6,3,0.23,0.00107
GO:0030717,oocyte karyosome formation,6,3,0.23,0.00107
GO:0030723,ovarian fusome organization,6,3,0.23,0.00107
GO:0061988,karyosome formation,6,3,0.23,0.00107
GO:0016050,vesicle organization,385,28,14.94,0.00117
GO:0032101,regulation of response to external stimu...,1094,63,42.44,0.00120
GO:1902531,regulation of intracellular signal trans...,1289,72,50.01,0.00125
GO:0035090,maintenance of apical/basal cell polarit...,111,12,4.31,0.00126
GO:0051056,regulation of small GTPase mediated sign...,242,20,9.39,0.00128
GO:0120036,plasma membrane bounded cell projection ...,1841,97,71.43,0.00128
GO:0050817,coagulation,278,22,10.79,0.00132
GO:0080134,regulation of response to stress,1206,68,46.79,0.00133
GO:0051050,positive regulation of transport,705,44,27.35,0.00143
GO:0007596,blood coagulation,262,21,10.16,0.00144
GO:0007487,analia development,2,2,0.08,0.00150
GO:0035213,clypeo-labral disc development,2,2,0.08,0.00150
GO:0048389,intermediate mesoderm development,2,2,0.08,0.00150
GO:0048728,proboscis development,2,2,0.08,0.00150
GO:0071695,anatomical structure maturation,430,30,16.68,0.00153
GO:0048193,Golgi vesicle transport,392,28,15.21,0.00153
GO:0045229,external encapsulating structure organiz...,411,29,15.95,0.00153
GO:0007519,skeletal muscle tissue development,300,23,11.64,0.00158
GO:0050818,regulation of coagulation,99,11,3.84,0.00159
GO:0030030,cell projection organization,1877,98,72.82,0.00161
GO:0010649,regulation of cell communication by elec...,45,7,1.75,0.00162
GO:0010650,positive regulation of cell communicatio...,45,7,1.75,0.00162
GO:0071702,organic substance transport,3118,152,120.97,0.00164
GO:0008037,cell recognition,396,28,15.36,0.00178
GO:0050793,regulation of developmental process,2498,125,96.91,0.00178
GO:0045478,fusome organization,7,3,0.27,0.00181
