GO.ID,Term,Annotated,Significant,Expected,classic
GO:0048646,anatomical structure formation involved ...,1722,193,106.91,2.9e-16
GO:0007155,cell adhesion,2485,254,154.28,3.2e-16
GO:0009653,anatomical structure morphogenesis,3629,337,225.3,2.3e-15
GO:0032502,developmental process,8012,640,497.41,3.1e-15
GO:0008283,cell population proliferation,3442,318,213.69,3.7e-14
GO:0048856,anatomical structure development,7495,599,465.31,5.3e-14
GO:0032501,multicellular organismal process,8879,685,551.24,3.8e-13
GO:0023052,signaling,6072,497,376.97,7.0e-13
GO:0007154,cell communication,6355,512,394.54,3.9e-12
GO:0007165,signal transduction,5516,454,342.45,5.6e-12
GO:0048468,cell development,3011,275,186.93,1.2e-11
GO:0007517,muscle organ development,496,71,30.79,4.0e-11
GO:0032989,cellular component morphogenesis,1094,124,67.92,4.6e-11
GO:0030154,cell differentiation,4658,389,289.18,5.9e-11
GO:0048869,cellular developmental process,4668,389,289.8,7.8e-11
GO:0098609,cell-cell adhesion,1057,119,65.62,1.7e-10
GO:0061061,muscle structure development,754,93,46.81,1.8e-10
GO:0016192,vesicle-mediated transport,2265,214,140.62,1.9e-10
GO:0098657,import into cell,1187,128,73.69,5.7e-10
GO:0034109,homotypic cell-cell adhesion,303,49,18.81,7.1e-10
GO:0055001,muscle cell development,353,54,21.92,7.9e-10
GO:0060538,skeletal muscle organ development,344,53,21.36,8.7e-10
GO:0014841,skeletal muscle satellite cell prolifera...,195,37,12.11,9.9e-10
GO:0042692,muscle cell differentiation,512,69,31.79,1.1e-09
GO:0014719,skeletal muscle satellite cell activatio...,191,36,11.86,2.0e-09
GO:0014856,skeletal muscle cell proliferation,200,37,12.42,2.1e-09
GO:0014816,skeletal muscle satellite cell different...,193,36,11.98,2.7e-09
GO:0035914,skeletal muscle cell differentiation,193,36,11.98,2.7e-09
GO:0006810,transport,5534,439,343.57,2.9e-09
GO:0050793,regulation of developmental process,2498,225,155.08,4.3e-09
GO:0051234,establishment of localization,5636,444,349.9,5.6e-09
GO:0050896,response to stimulus,9587,703,595.19,5.7e-09
GO:0050789,regulation of biological process,12137,863,753.5,6.8e-09
GO:0060537,muscle tissue development,427,59,26.51,6.8e-09
GO:0007519,skeletal muscle tissue development,300,46,18.62,1.3e-08
GO:0006897,endocytosis,1149,120,71.33,1.3e-08
GO:0048731,system development,5088,404,315.88,1.5e-08
GO:0051179,localization,5938,461,368.65,1.7e-08
GO:0050794,regulation of cellular process,11243,804,698,1.8e-08
GO:0048513,animal organ development,3675,306,228.16,1.8e-08
GO:0014855,striated muscle cell proliferation,226,38,14.03,1.9e-08
GO:0007275,multicellular organism development,6365,487,395.16,3.9e-08
GO:0009887,animal organ morphogenesis,1415,139,87.85,4.1e-08
GO:0051716,cellular response to stimulus,7078,534,439.42,4.1e-08
GO:0016043,cellular component organization,6516,496,404.53,5.4e-08
GO:0022603,regulation of anatomical structure morph...,834,92,51.78,5.7e-08
GO:0033002,muscle cell proliferation,308,45,19.12,8.0e-08
GO:0051146,striated muscle cell differentiation,319,46,19.8,8.6e-08
GO:0048870,cell motility,1411,137,87.6,1.0e-07
GO:0043654,recognition of apoptotic cell,186,32,11.55,1.4e-07
GO:0065007,biological regulation,12537,877,778.34,1.6e-07
GO:0007163,establishment or maintenance of cell pol...,445,57,27.63,1.7e-07
GO:0001525,angiogenesis,734,82,45.57,1.8e-07
GO:0007169,transmembrane receptor protein tyrosine ...,905,96,56.19,1.9e-07
GO:0030239,myofibril assembly,191,32,11.86,2.7e-07
GO:0055002,striated muscle cell development,191,32,11.86,2.7e-07
GO:0006468,protein phosphorylation,1244,122,77.23,3.1e-07
