gene,meth_diff
gene-LOC111116193,0.09093714872262748
gene-LOC111116194,0.11083710416666656
gene-LOC111116195,-4.7447646544117585
gene-LOC111116196,-0.5531741250000106
gene-LOC111116197,-1.6088569791666778
gene-LOC111116198,-0.016038334935897347
gene-LOC111116203,0.41210821250000007
gene-LOC111116204,0.14388484166666582
gene-LOC111116207,0.580808125
gene-LOC111116209,-0.12261418092105303
gene-LOC111116211,0.030532824427481398
gene-LOC111116213,-0.13489066071428504
gene-LOC111116214,0.07581453009259259
gene-LOC111116216,-0.200656875
gene-LOC111116217,1.0149224500000003
gene-LOC111116223,-0.216856975
gene-LOC111116225,0.059019791666666654
gene-LOC111116226,-0.2014768306451612
gene-LOC111116231,-0.8367006249999998
gene-LOC111116233,-6.510845875000001
gene-LOC111116235,-1.022826437500001
gene-LOC111116236,1.2436865000000008
gene-LOC111116239,0.042982749999999986
gene-LOC111116242,0.02407103645833336
gene-LOC111116243,-0.3413798235294099
gene-LOC111116245,-1.0154599330357286
gene-LOC111116246,0.8022182343750002
gene-LOC111116247,0.17239444791666667
gene-LOC111116248,-0.015924666666666698
gene-LOC111116249,-0.010877239224137997
gene-LOC111116250,0.10675511249999997
gene-LOC111116251,-0.010799394736841883
gene-LOC111116252,-0.431445245
gene-LOC111116253,-0.05331949423076926
gene-LOC111116255,0.04579687735849047
gene-LOC111116256,0.15530025
gene-LOC111116259,0.1102997
gene-LOC111116261,-1.0452275625
gene-LOC111116262,0.3168058437500001
gene-LOC111116263,-0.1746631306818176
gene-LOC111116264,-0.9393614891826587
gene-LOC111116268,-4.051334729166657
gene-LOC111116269,-0.096544943181818
gene-LOC111116270,-0.11574075
gene-LOC111116271,0.37280512499999996
gene-LOC111116272,-0.783093
gene-LOC111116273,-1.7798041562499982
gene-LOC111116274,3.2314777968749997
gene-LOC111116275,0.010735791666666689
gene-LOC111116277,-1.5628055
gene-LOC111116280,0.05817322177419382
gene-LOC111116282,-0.17176694642857174
gene-LOC111116283,-8.967758594298243
gene-LOC111116284,-0.029803578124999952
gene-LOC111116289,0.04497867272727263
gene-LOC111116290,0.04433298588709675
gene-LOC111116291,0.01332630424528286
gene-LOC111116293,-0.10757814375000008
gene-LOC111116297,0.11941068382352937
gene-LOC111116298,0.9080615624999999
gene-LOC111116299,-2.58595075
gene-LOC111116305,-1.2486466302083343
gene-LOC111116309,5.995202375000018
gene-LOC111116315,9.789624806818182
gene-LOC111116324,2.998911041666675
gene-LOC111116325,0.38276987500000104
gene-LOC111116326,-1.6412822916666743
gene-LOC111116329,0.09412634374999998
gene-LOC111116333,-0.15833224193549
gene-LOC111116340,-0.5144335312499999
gene-LOC111116349,-0.22876331249999993
gene-LOC111116350,-1.0040651691176485
gene-LOC111116351,0.21281218229166696
gene-LOC111116357,-6.340765875000001
gene-LOC111116360,1.168799305555556
gene-LOC111116363,-0.2720526818181819
gene-LOC111116364,1.38789598611111
gene-LOC111116366,5.516100125000001
gene-LOC111116367,-1.4629032031250002
gene-LOC111116370,-4.297167312499999
gene-LOC111116371,1.7497748749999982
gene-LOC111116372,1.9577368750000002
gene-LOC111116385,4.1497975
gene-LOC111116386,-3.8638942500000013
gene-LOC111116388,-1.2862802926136387
gene-LOC111116394,1.074089125
gene-LOC111116399,-1.0730392083333298
gene-LOC111116408,0.9843097596153783
gene-LOC111116410,0.06355635000000001
gene-LOC111116414,0.010381406914893532
gene-LOC111116415,-2.726505291666647
gene-LOC111116416,3.514556175
