gene.id,controls.females.mean.methylation.CoV,controls.males.mean.methylation.CoV,controls.females.mean.methylation,controls.males.mean.methylation,mean.methylation,abs.delta.CoV
gene-ATP6,0.355113159205103,0.602649304258395,1.1515620875,1.261582175,1.20657213125,0.247536145053292
gene-COX1,0.392934811276764,0.48414552157222,1.057695925,0.94207345,0.9998846875,0.0912107102954565
gene-COX2,0.423514618107656,0.355378799166215,1.1240472625,1.125866925,1.12495709375,0.0681358189414413
gene-COX3,0.370035278982343,0.303527964620158,0.9308748375,0.932598375,0.93173660625,0.0665073143621852
gene-CYTB,0.36583581656612,0.445943416627031,1.072544025,1.108918,1.0907310125,0.0801076000609105
gene-LOC111099029,0.263925111574308,0.268882751900243,50.58512,62.47969,56.532405,0.00495764032593426
gene-LOC111099030,0.436036903295346,1.05077331135071,0.35596241875,0.1626148,0.259288609375,0.614736408055359
gene-LOC111099031,0.49471695818448,0.311938838945859,0.5033708475,0.4305183625,0.466944605,0.182778119238621
gene-LOC111099032,1.52284442613602,0.224343402880108,0.5201916375,0.242123625,0.38115763125,1.29850102325591
gene-LOC111099033,0.90338733772528,0.54834140495,0.332786625,0.231297825,0.282042225,0.35504593277528
gene-LOC111099034,0.174147258849245,0.159055554075905,68.3744075,71.9994825,70.186945,0.0150917047733407
gene-LOC111099035,0.291020615786882,0.310861722599329,40.35139375,43.6257025,41.988548125,0.0198411068124471
gene-LOC111099036,0.0581409324370021,0.0987484493168367,57.463015,67.6470575,62.55503625,0.0406075168798346
gene-LOC111099037,0.4467598358153,0.591705738937221,0.27947516875,0.2709310125,0.275203090625,0.14494590312192
gene-LOC111099038,0.789517822064105,0.575597212821621,0.262211575,0.2027257525,0.23246866375,0.213920609242483
gene-LOC111099039,0.295510523325162,0.462117600313758,1.222516575,0.92680525,1.0746609125,0.166607076988596
gene-LOC111099040,1.29723013549071,0.229601412752291,5.030723875,3.13249425,4.0816090625,1.06762872273842
gene-LOC111099041,0.314954520518446,0.751067294924822,13.4384683875,15.662683675,14.55057603125,0.436112774406377
gene-LOC111099042,0.703150240862852,0.287531528402714,0.330880575,0.352771075,0.341825825,0.415618712460138
gene-LOC111099043,0.291987320000662,0.222667887008603,1.1996680625,0.851223575,1.02544581875,0.0693194329920592
gene-LOC111099044,NA,NA,NA,NA,NA,NA
gene-LOC111099045,NA,0.0152182992916464,NA,70.788055,NA,NA
gene-LOC111099046,1.71972613381902,0.798782364735063,4.26864365,1.11999535,2.6943195,0.920943769083961
gene-LOC111099047,0.107822561031127,0.0385080073392213,48.83616,76.9531875,62.89467375,0.0693145536919057
gene-LOC111099048,0.715249355281574,0.31580037532168,0.368088175,0.376458325,0.37227325,0.399448979959894
gene-LOC111099049,0.413571359690901,0.385498652529782,0.2839058625,0.197500925,0.24070339375,0.0280727071611184
gene-LOC111099050,0.0759188740130701,0.06499906403768,61.94601125,65.4547075,63.700359375,0.0109198099753901
gene-LOC111099051,0.139708339200706,0.175852758499033,30.95179875,36.46503,33.708414375,0.0361444192983266
gene-LOC111099052,NA,NA,NA,NA,NA,NA
gene-LOC111099053,0.0456445027349404,0.0387461383931141,63.37300375,67.7380925,65.555548125,0.00689836434182631
gene-LOC111099054,0.499010755094614,0.370518839218433,0.3600527375,0.27810915,0.31908094375,0.128491915876181
gene-LOC111099055,0.22942395677209,0.259528953367891,0.4611211175,0.2861677125,0.373644415,0.0301049965958013
gene-LOC111099056,0.074737507421471,0.0893745832597104,64.96692625,69.6767725,67.321849375,0.0146370758382394
gene-LOC111099057,0.232403450554545,0.567389250555158,3.95924625,2.239285725,3.0992659875,0.334985800000613
gene-LOC111099058,0.210012143098332,0.650437659248336,0.290511725,0.35805745,0.3242845875,0.440425516150004
gene-LOC111099059,0.233790492373507,0.417970490683641,0.2893769375,0.278786725,0.28408183125,0.184179998310134
gene-LOC111099060,1.63371222823227,0.783055380902912,1.03023605,9.85862485,5.44443045,0.850656847329355
gene-LOC111099061,0.377429265768409,0.258765841999156,0.3064434625,0.256563775,0.28150361875,0.118663423769253
gene-LOC111099062,0.0943132463225057,0.20031708116848,63.328115,73.4032125,68.36566375,0.106003834845975
gene-LOC111099063,0.0648891624998391,0.0769216579323291,63.241185,72.626505,67.933845,0.01203249543249
gene-LOC111099064,1.1539226236659,1.18768196568913,6.57764,8.04364175,7.310640875,0.0337593420232296
