gene.id,controls.females.mean.methylation.CoV,exposed.females.mean.methylation.CoV,controls.females.mean.methylation,exposed.females.mean.methylation,mean.methylation,abs.delta.CoV
gene-ATP6,0.355113159205103,0.294610088998925,1.1515620875,1.4932581875,1.3224101375,0.0605030702061779
gene-COX1,0.392934811276764,0.239836467723889,1.057695925,1.3150502875,1.18637310625,0.153098343552875
gene-COX2,0.423514618107656,0.266776604739983,1.1240472625,1.3635444875,1.243795875,0.156738013367673
gene-COX3,0.370035278982343,0.27563137415745,0.9308748375,1.121288725,1.02608178125,0.0944039048248932
gene-CYTB,0.36583581656612,0.261543077119734,1.072544025,1.3576933,1.2151186625,0.104292739446387
gene-LOC111099029,0.263925111574308,0.112800900329938,50.58512,57.2510025,53.91806125,0.15112421124437
gene-LOC111099030,0.436036903295346,0.634477246334421,0.35596241875,0.29296783125,0.324465125,0.198440343039075
gene-LOC111099031,0.49471695818448,0.877597739504104,0.5033708475,0.75219724125,0.627784044375,0.382880781319623
gene-LOC111099032,1.52284442613602,0.440071580152698,0.5201916375,0.249639775,0.38491570625,1.08277284598332
gene-LOC111099033,0.90338733772528,0.744950110528127,0.332786625,0.31076145,0.3217740375,0.158437227197154
gene-LOC111099034,0.174147258849245,0.203680459486187,68.3744075,62.21997875,65.297193125,0.0295332006369418
gene-LOC111099035,0.291020615786882,0.187132481662087,40.35139375,60.8458325,50.598613125,0.103888134124795
gene-LOC111099036,0.0581409324370021,0.174106791508517,57.463015,60.33875125,58.900883125,0.115965859071515
gene-LOC111099037,0.4467598358153,0.376262266047076,0.27947516875,0.3572084225,0.318341795625,0.0704975697682242
gene-LOC111099038,0.789517822064105,0.314808391430196,0.262211575,0.31311865375,0.287665114375,0.474709430633909
gene-LOC111099039,0.295510523325162,0.648198717466162,1.222516575,1.3324000125,1.27745829375,0.352688194141
gene-LOC111099040,1.29723013549071,0.157343987896152,5.030723875,2.152594625,3.59165925,1.13988614759456
gene-LOC111099041,0.314954520518446,1.07198132243988,13.4384683875,9.9595469625,11.699007675,0.757026801921432
gene-LOC111099042,0.703150240862852,0.324059316194703,0.330880575,0.3616858375,0.34628320625,0.379090924668149
gene-LOC111099043,0.291987320000662,0.20675181918148,1.1996680625,0.97401425,1.08684115625,0.0852355008191814
gene-LOC111099044,NA,NA,NA,NA,NA,NA
gene-LOC111099045,NA,0.123017798647264,NA,57.78267625,NA,NA
gene-LOC111099046,1.71972613381902,1.68574597067026,4.26864365,6.5697144125,5.41917903125,0.0339801631487684
gene-LOC111099047,0.107822561031127,0.0891463313799752,48.83616,47.265695,48.0509275,0.0186762296511518
gene-LOC111099048,0.715249355281574,1.50299432980308,0.368088175,0.127096275,0.247592225,0.787744974521505
gene-LOC111099049,0.413571359690901,0.335000968808736,0.2839058625,0.2945064375,0.28920615,0.0785703908821647
gene-LOC111099050,0.0759188740130701,0.0611956274015596,61.94601125,57.62925125,59.78763125,0.0147232466115105
gene-LOC111099051,0.139708339200706,0.205239754150831,30.95179875,32.2163275,31.584063125,0.0655314149501248
gene-LOC111099052,NA,NA,NA,NA,NA,NA
gene-LOC111099053,0.0456445027349404,0.0384889449029304,63.37300375,62.592195,62.982599375,0.00715555783201
gene-LOC111099054,0.499010755094614,0.496628254351479,0.3600527375,0.27638415,0.31821844375,0.00238250074313451
gene-LOC111099055,0.22942395677209,0.544150201757923,0.4611211175,0.49553503625,0.478328076875,0.314726244985834
gene-LOC111099056,0.074737507421471,0.166767475869825,64.96692625,57.50504125,61.23598375,0.0920299684483538
gene-LOC111099057,0.232403450554545,0.310782116118158,3.95924625,4.0000196375,3.97963294375,0.0783786655636129
gene-LOC111099058,0.210012143098332,0.467379432615836,0.290511725,0.353441625,0.321976675,0.257367289517504
gene-LOC111099059,0.233790492373507,0.924274396560859,0.2893769375,0.4825101,0.38594351875,0.690483904187352
gene-LOC111099060,1.63371222823227,0.283880832177935,1.03023605,0.4547404375,0.74248824375,1.34983139605433
gene-LOC111099061,0.377429265768409,0.620179659730289,0.3064434625,0.29068035,0.29856190625,0.242750393961879
gene-LOC111099062,0.0943132463225057,0.105886361385338,63.328115,60.01310375,61.670609375,0.0115731150628327
gene-LOC111099063,0.0648891624998391,0.0559817511917053,63.241185,59.44657375,61.343879375,0.00890741130813379
gene-LOC111099064,1.1539226236659,1.04285456589045,6.57764,10.766400625,8.6720203125,0.111068057775456
gene-LOC111099065,NA,NA,NA,NA,NA,NA
gene-LOC111099066,0.456832556832734,0.502264157118953,0.42983335,0.3180829125,0.37395813125,0.0454316002862187
gene-LOC111099067,0.0545985720957425,0.050335569999688,55.8905725,53.093885,54.49222875,0.00426300209605447
gene-LOC111099068,0.282010116248105,0.382759572067224,0.5513695125,0.4801000375,0.515734775,0.100749455819119
gene-LOC111099069,0.893953900986768,1.07286884083978,1.146046375,1.40579052625,1.275918450625,0.17891493985301
gene-LOC111099070,0.676973998658669,0.502383373199602,0.7032958,0.7155160625,0.70940593125,0.174590625459067
gene-LOC111099071,0.124241679819031,0.0502789692384244,59.09830875,58.76638125,58.932345,0.0739627105806066
gene-LOC111099072,0.418541495029982,0.394237816717684,0.401776625,0.3998908,0.4008337125,0.0243036783122977
gene-LOC111099073,0.0493149351476922,0.0676140161887996,62.250175,59.18778875,60.718981875,0.0182990810411074
gene-LOC111099074,NA,NA,NA,NA,NA,NA
gene-LOC111099075,0.219354685812462,0.309822521669848,0.2402569625,0.2475636375,0.2439103,0.0904678358573859
gene-LOC111099076,0.20625430334801,0.229611469754219,0.800631275,0.84300985,0.8218205625,0.0233571664062089
gene-LOC111099077,0.360889965867992,0.485205842796951,0.3083915625,0.308636875,0.30851421875,0.124315876928959
gene-LOC111099078,1.48222121602493,0.964512730426503,1.164576725,1.8977551625,1.53116594375,0.517708485598424
