gene.id,controls.males.mean.methylation.CoV,exposed.males.mean.methylation.CoV,controls.males.mean.methylation,exposed.males.mean.methylation,mean.methylation,abs.delta.CoV
gene-ATP6,0.602649304258395,0.816009754836307,1.261582175,1.08665271666667,1.17411744583333,0.213360450577912
gene-COX1,0.48414552157222,0.329739015409538,0.94207345,0.878384833333333,0.910229141666667,0.154406506162682
gene-COX2,0.355378799166215,0.561961096871014,1.125866925,0.8943727,1.0101198125,0.206582297704799
gene-COX3,0.303527964620158,0.304704058953841,0.932598375,0.856369366666667,0.894483870833333,0.00117609433368299
gene-CYTB,0.445943416627031,0.339416094154235,1.108918,0.917495483333333,1.01320674166667,0.106527322472796
gene-LOC111099029,0.268882751900243,0.139276662847058,62.47969,66.2263333333333,64.3530116666667,0.129606089053184
gene-LOC111099030,1.05077331135071,0.790474035745977,0.1626148,0.358657728333333,0.260636264166667,0.260299275604729
gene-LOC111099031,0.311938838945859,0.626381083158394,0.4305183625,0.741992341666667,0.586255352083333,0.314442244212535
gene-LOC111099032,0.224343402880108,0.587712145738203,0.242123625,0.2047827,0.2234531625,0.363368742858095
gene-LOC111099033,0.54834140495,0.484665054224779,0.231297825,0.327447666666667,0.279372745833333,0.0636763507252214
gene-LOC111099034,0.159055554075905,0.343958981607265,71.9994825,71.27997,71.63972625,0.184903427531361
gene-LOC111099035,0.310861722599329,0.370095479905068,43.6257025,51.8336516666667,47.7296770833333,0.0592337573057387
gene-LOC111099036,0.0987484493168367,0.101891041215608,67.6470575,71.038845,69.34295125,0.00314259189877179
gene-LOC111099037,0.591705738937221,0.379660146806867,0.2709310125,0.244555605,0.25774330875,0.212045592130354
gene-LOC111099038,0.575597212821621,0.987495621769014,0.2027257525,0.256794693333333,0.229760222916667,0.411898408947393
gene-LOC111099039,0.462117600313758,0.628664469333104,0.92680525,1.18874481666667,1.05777503333333,0.166546869019347
gene-LOC111099040,0.229601412752291,0.109041653884478,3.13249425,2.951851,3.042172625,0.120559758867813
gene-LOC111099041,0.751067294924822,0.725139484571406,15.662683675,13.2554620833333,14.4590728791667,0.025927810353416
gene-LOC111099042,0.287531528402714,0.271777097727416,0.352771075,0.239996533333333,0.296383804166667,0.0157544306752981
gene-LOC111099043,0.222667887008603,0.644500702371963,0.851223575,0.96728775,0.9092556625,0.42183281536336
gene-LOC111099044,NA,NA,NA,NA,NA,NA
gene-LOC111099045,0.0152182992916464,0.0766990571504166,70.788055,76.185395,73.486725,0.0614807578587702
gene-LOC111099046,0.798782364735063,1.74607764602656,1.11999535,3.6699382,2.394966775,0.947295281291494
gene-LOC111099047,0.0385080073392213,0.034191827691424,76.9531875,78.9047083333333,77.9289479166667,0.00431617964779726
gene-LOC111099048,0.31580037532168,1.01464996402912,0.376458325,0.260066916666667,0.318262620833333,0.698849588707442
gene-LOC111099049,0.385498652529782,1.63259398472112,0.197500925,0.720686566666667,0.459093745833333,1.24709533219134
gene-LOC111099050,0.06499906403768,0.0627453105915033,65.4547075,68.0760616666667,66.7653845833333,0.00225375344617668
gene-LOC111099051,0.175852758499033,0.376359314967017,36.46503,34.1810883333333,35.3230591666667,0.200506556467984
gene-LOC111099052,NA,NA,NA,NA,NA,NA
gene-LOC111099053,0.0387461383931141,0.0350705917384041,67.7380925,67.0174216666667,67.3777570833333,0.00367554665471002
gene-LOC111099054,0.370518839218433,0.515309053843393,0.27810915,0.188921016666667,0.233515083333333,0.144790214624961
gene-LOC111099055,0.259528953367891,0.390100305861716,0.2861677125,0.373129835,0.32964877375,0.130571352493825
